,participacao_hat,participacao_modelo
13,0.0,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
14,0.08267922905900305,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
15,0.16621917960199717,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
16,0.24441027719763397,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
17,0.31742174427365644,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
18,0.3854202987646729,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
19,0.4485701541121605,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
20,0.5070330192644628,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
21,0.5609680986767902,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
22,0.6105320923112214,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
23,0.6558791956367012,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
24,0.6971610996290427,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
25,0.7345269907709255,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
26,0.7681235510518953,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
27,0.798094957968368,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
28,0.8245828845236236,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
29,0.8477264992278113,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
30,0.8676624660979457,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
31,0.8845249446579113,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
32,0.8984455899384569,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
33,0.9095535524772003,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
34,0.9179754783186258,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
35,0.923835509014086,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
36,0.927255281621798,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
37,0.9283539287068487,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
38,0.9272480783411918,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
39,0.9240518541036487,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
40,0.9188768750799046,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
41,0.911832255862516,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
42,0.9030246065509044,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
43,0.89255803275136,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
44,0.8805341355770375,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
45,0.8670520116479628,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
46,0.8522082530910251,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
47,0.8360969475399829,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
48,0.8188096781354619,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
49,0.8004355235249543,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
50,0.7810610578628205,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
51,0.7607703508102865,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
52,0.7396449675354466,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
53,0.7177639687132604,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
54,0.6952039105255592,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
55,0.6720388446610381,"[ -1.04353881e-07   3.46736786e-05  -4.09375992e-03   1.81653953e-01
  -1.74923489e+00]"
