,CODMUNRES,Unnamed: 0,ano,homicidios,idade_media,negro_proporcao,codigo_mun_7,uf,pop_mun,pop_uf,tx_hom,tx_hom_pct
1782,310160,49163,2015,4,32.0,0.0,3101607.0,31.0,79707.0,21119536.0,5.01837981607638,6.8181818181818175
2471,350610,49852,2015,4,39.5,0.75,3506102.0,35.0,77761.0,45094866.0,5.143966769974666,6.969696969696971
3186,421010,50567,2015,3,38.333333333333336,0.0,4210100.0,42.0,55907.0,7001161.0,5.366054340243619,7.121212121212121
2755,354870,50136,2015,45,29.0,0.6,3548708.0,35.0,827437.0,45094866.0,5.438480512715772,7.2727272727272725
1889,311830,49270,2015,7,37.857142857142854,0.42857142857142855,3118304.0,31.0,127369.0,21119536.0,5.495842787491462,7.424242424242425
2632,352900,50013,2015,13,40.615384615384606,0.6153846153846154,3529005.0,35.0,235234.0,45094866.0,5.526411998265557,7.575757575757576
2615,352590,49996,2015,23,42.69565217391305,0.2608695652173913,3525904.0,35.0,409497.0,45094866.0,5.616646764200959,7.727272727272727
2443,350190,49824,2015,4,45.5,0.25,3501905.0,35.0,71193.0,45094866.0,5.618529911648618,7.878787878787878
2428,330580,49809,2015,10,35.1,0.6,3305802.0,33.0,176060.0,16718956.0,5.679881858457344,8.030303030303031
2761,354980,50142,2015,26,40.5,0.2,3549805.0,35.0,450657.0,45094866.0,5.769354520178317,8.181818181818182
3217,421480,50598,2015,4,26.5,0.25,4214805.0,42.0,69188.0,7001161.0,5.781349366942244,8.333333333333332
2640,353050,50021,2015,4,37.0,0.75,3530508.0,35.0,68994.0,45094866.0,5.797605588891788,8.484848484848486
2379,330220,49760,2015,6,40.833333333333336,0.6666666666666666,3302205.0,33.0,99997.0,16718956.0,6.0001800054001615,8.636363636363637
2135,315180,49516,2015,10,31.5,0.4,3151800.0,31.0,166085.0,21119536.0,6.021013336544541,8.787878787878787
2747,354730,50128,2015,8,46.5,0.25,3547304.0,35.0,131887.0,45094866.0,6.065798751961907,8.93939393939394
2804,355500,50185,2015,4,36.0,0.75,3555000.0,35.0,65758.0,45094866.0,6.0829100641747,9.090909090909092
2482,350760,49863,2015,10,39.7,0.3,3507605.0,35.0,164163.0,45094866.0,6.091506612330428,9.242424242424242
2573,352050,49954,2015,15,39.4,0.4,3520509.0,35.0,239602.0,45094866.0,6.260381799818031,9.393939393939393
2756,354880,50137,2015,10,33.9,0.4,3548807.0,35.0,159608.0,45094866.0,6.265350107764022,9.545454545454547
111,130420,47492,2015,4,26.25,1.0,1304203.0,13.0,62021.0,4063614.0,6.449428419406329,9.696969696969697
1807,310560,49188,2015,9,30.555555555555557,0.6666666666666666,3105608.0,31.0,136689.0,21119536.0,6.584289884335974,9.848484848484848
1871,311530,49252,2015,5,34.0,0.75,3115300.0,31.0,75025.0,21119536.0,6.664445184938354,10.0
3144,420430,50525,2015,5,36.4,0.0,4204301.0,42.0,73766.0,7001161.0,6.778190494265651,10.151515151515152
2769,355060,50150,2015,6,30.0,0.6,3550605.0,35.0,88473.0,45094866.0,6.781730019327931,10.303030303030303
2754,354850,50135,2015,30,37.8,0.5172413793103449,3548500.0,35.0,434742.0,45094866.0,6.900644520198187,10.454545454545453
2444,350210,49825,2015,4,35.0,0.5,3502101.0,35.0,57350.0,45094866.0,6.9747166521360064,10.606060606060606
154,150180,47535,2015,7,30.57142857142857,1.0,1501808.0,15.0,99896.0,8366628.0,7.007287579082246,10.757575757575758
206,150530,47587,2015,5,39.0,1.0,1505304.0,15.0,71078.0,8366628.0,7.0345254509130815,10.909090909090908
186,150390,47567,2015,4,32.25,1.0,1503903.0,15.0,56325.0,8366628.0,7.1016422547714155,11.06060606060606
2541,351620,49922,2015,25,34.96,0.4583333333333333,3516200.0,35.0,347237.0,45094866.0,7.19969358104119,11.212121212121213
2772,355100,50153,2015,26,31.5,0.6153846153846154,3551009.0,35.0,360380.0,45094866.0,7.214606803929185,11.363636363636363
133,150040,47514,2015,4,39.75,0.75,1500404.0,15.0,55246.0,8366628.0,7.240343192267314,11.515151515151516
2622,352690,50003,2015,22,35.72727272727273,0.2272727272727273,3526902.0,35.0,300911.0,45094866.0,7.3111318629096305,11.666666666666666
2642,353070,50023,2015,11,34.63636363636363,0.09090909090909093,3530706.0,35.0,149396.0,45094866.0,7.362981605933225,11.818181818181818
2452,350320,49833,2015,17,33.117647058823536,0.5294117647058824,3503208.0,35.0,230770.0,45094866.0,7.366642111192962,11.969696969696969
2500,351040,49881,2015,4,37.0,0.0,3510401.0,35.0,54298.0,45094866.0,7.366753839920439,12.121212121212121
2644,353110,50025,2015,4,27.5,0.75,3531100.0,35.0,54257.0,45094866.0,7.37232062222386,12.272727272727273
2621,352680,50002,2015,5,24.0,0.4,3526803.0,35.0,67185.0,45094866.0,7.442137381856069,12.424242424242424
2032,313840,49413,2015,4,21.25,0.75,3138401.0,31.0,53354.0,21119536.0,7.497094875735653,12.575757575757576
3168,420750,50549,2015,5,38.2,0.2,4207502.0,42.0,66497.0,7001161.0,7.519136201633157,12.727272727272727
2813,355650,50194,2015,9,33.44444444444444,0.1111111111111111,3556503.0,35.0,118917.0,45094866.0,7.568303943086354,12.878787878787879
2643,353080,50024,2015,7,32.714285714285715,0.14285714285714285,3530805.0,35.0,92365.0,45094866.0,7.578628268283441,13.030303030303031
2453,350330,49834,2015,10,31.6,0.2,3503307.0,35.0,131282.0,45094866.0,7.617190475465029,13.18181818181818
2496,350970,49877,2015,4,33.5,0.25,3509700.0,35.0,51454.0,45094866.0,7.773933999300346,13.333333333333334
2680,353650,50061,2015,8,35.25,0.375,3536505.0,35.0,102499.0,45094866.0,7.804954194675069,13.484848484848486
2460,350450,49841,2015,7,28.42857142857143,0.42857142857142855,3504503.0,35.0,89479.0,45094866.0,7.823064629689648,13.636363636363635
2603,352430,49984,2015,6,39.5,0.16666666666666666,3524303.0,35.0,76563.0,45094866.0,7.836683515536225,13.787878787878787
2041,313940,49422,2015,7,43.42857142857143,0.7142857142857143,3139409.0,31.0,88580.0,21119536.0,7.902461052156243,13.939393939393941
2620,352670,50001,2015,8,39.0,0.25,3526704.0,35.0,101184.0,45094866.0,7.906388361796331,14.09090909090909
1816,310740,49197,2015,4,22.75,1.0,3107406.0,31.0,50042.0,21119536.0,7.993285640062348,14.242424242424242
2667,353470,50048,2015,9,29.11111111111111,0.2222222222222222,3534708.0,35.0,111813.0,45094866.0,8.049153497357194,14.393939393939394
2024,313760,49405,2015,5,37.0,0.6,3137601.0,31.0,61752.0,21119536.0,8.096903744008292,14.545454545454545
2589,352260,49970,2015,6,49.5,0.16666666666666666,3522604.0,35.0,73844.0,45094866.0,8.125236986078761,14.696969696969697
3276,430300,50657,2015,7,46.85714285714285,0.14285714285714285,4303004.0,43.0,85495.0,11322895.0,8.187613310719925,14.84848484848485
2470,350600,49851,2015,31,34.74193548387097,0.4838709677419355,3506003.0,35.0,371690.0,45094866.0,8.340283569641368,15.0
2796,355400,50177,2015,10,36.2,0.2222222222222222,3554003.0,35.0,118939.0,45094866.0,8.407671159165623,15.151515151515152
2474,350635,49855,2015,5,36.2,1.0,3506359.0,35.0,59297.0,45094866.0,8.432129787341687,15.303030303030301
3225,421580,50606,2015,7,35.714285714285715,0.0,4215802.0,42.0,82842.0,7001161.0,8.449820139542744,15.454545454545453
1471,290390,48852,2015,6,40.16666666666666,0.5,2903904.0,29.0,70618.0,15344447.0,8.496417344019937,15.606060606060607
2596,352340,49977,2015,10,38.1,0.3,3523404.0,35.0,116503.0,45094866.0,8.583469953563428,15.757575757575756
2733,354520,50114,2015,10,37.8,0.1,3545209.0,35.0,116191.0,45094866.0,8.606518577170348,15.909090909090908
2539,351550,49920,2015,6,44.16666666666666,0.5,3515509.0,35.0,68670.0,45094866.0,8.73743993010048,16.060606060606062
2600,352400,49981,2015,5,39.8,0.4,3524006.0,35.0,57031.0,45094866.0,8.76716171906507,16.21212121212121
2797,355410,50178,2015,27,32.22222222222222,0.2962962962962963,3554102.0,35.0,307953.0,45094866.0,8.767571674898441,16.363636363636363
2030,313820,49411,2015,9,28.11111111111111,0.6666666666666666,3138203.0,31.0,102124.0,21119536.0,8.812815792565901,16.515151515151516
3119,420200,50500,2015,12,32.0,0.25,4202008.0,42.0,135268.0,7001161.0,8.871277759706656,16.666666666666664
3124,420240,50505,2015,31,37.19354838709677,0.12903225806451613,4202404.0,42.0,348513.0,7001161.0,8.89493361797121,16.818181818181817
2757,354890,50138,2015,22,32.68181818181818,0.4090909090909091,3548906.0,35.0,246088.0,45094866.0,8.939891420955105,16.969696969696972
158,150210,47539,2015,12,39.75,0.9090909090909092,1502103.0,15.0,134100.0,8366628.0,8.94854586129754,17.12121212121212
2776,355170,50157,2015,11,39.09090909090909,0.18181818181818185,3551702.0,35.0,122643.0,45094866.0,8.969121759904764,17.272727272727273
3264,430160,50645,2015,11,32.09090909090909,0.4545454545454545,4301602.0,43.0,122209.0,11322895.0,9.000973741704785,17.424242424242426
