;CODMUNRES;ano;homicidios;idade_media;negro_proporcao
54171;1707652;1996;3;45,333333333333336;
54172;1708205;1996;2;43,5;
54173;1708254;1996;1;80,0;
54174;1709005;1996;2;60,0;
54175;1709302;1996;1;38,0;
54176;1709500;1996;9;33,77777777777778;
54177;1710904;1996;1;16,0;
54178;1711100;1996;2;33,0;
54179;1711803;1996;1;47,0;
54180;1712504;1996;1;28,0;
54181;1713957;1996;1;85,0;
54182;1714203;1996;1;22,0;
54183;1714880;1996;2;36,0;
54184;1715754;1996;1;57,0;
54185;1716109;1996;3;35,333333333333336;
54186;1716307;1996;2;48,0;
54187;1716604;1996;1;22,0;
54188;1717909;1996;1;40,0;
54189;1718204;1996;4;44,75;
54190;1718303;1996;1;29,0;
54191;1718840;1996;1;20,0;
54192;1720903;1996;1;22,0;
54193;1721000;1996;7;40,42857142857143;
54194;1721208;1996;1;11,0;
54195;1722081;1996;1;61,0;
54196;1722107;1996;1;36,0;
54197;2100000;1996;2;34,0;
54198;2100055;1996;13;36,15384615384615;
54199;2101004;1996;1;34,0;
54200;2101202;1996;9;36,55555555555556;
54201;2101400;1996;2;36,5;
54202;2101608;1996;2;32,5;
54203;2102002;1996;2;38,5;
54204;2102507;1996;1;59,0;
54205;2102903;1996;2;27,0;
54206;2103000;1996;7;38,714285714285715;
54207;2103208;1996;1;23,0;
54208;2103307;1996;4;31,25;
54209;2103406;1996;1;37,0;
54210;2103604;1996;5;37,8;
54211;2103703;1996;1;23,0;
54212;2104008;1996;1;46,0;
54213;2104057;1996;1;24,0;
54214;2104107;1996;1;36,0;
54215;2104206;1996;2;54,0;
54216;2104800;1996;4;35,0;
54217;2105203;1996;1;80,0;
54218;2105302;1996;15;31,8;
54219;2105500;1996;1;12,0;
54220;2105609;1996;1;36,0;
54221;2105807;1996;1;36,0;
54222;2106102;1996;1;18,0;
54223;2106300;1996;1;35,0;
54224;2106706;1996;2;40,5;
54225;2106755;1996;1;63,0;
54226;2107100;1996;1;33,0;
54227;2107506;1996;6;30,5;
54228;2107605;1996;1;31,0;
54229;2108207;1996;8;30,5;
54230;2108504;1996;1;48,0;
54231;2108603;1996;2;29,0;
54232;2108702;1996;2;38,0;
54233;2108900;1996;1;30,0;
54234;2109007;1996;2;51,5;
54235;2109106;1996;2;41,0;
54236;2109304;1996;1;42,0;
54237;2109601;1996;3;23,0;
54238;2109908;1996;4;23,25;
54239;2110005;1996;9;37,55555555555556;
54240;2110039;1996;1;27,0;
54241;2110203;1996;1;30,0;
54242;2110302;1996;1;33,0;
54243;2110401;1996;2;42,0;
54244;2110500;1996;2;26,5;
54245;2110609;1996;1;63,0;
54246;2110708;1996;3;36,333333333333336;
54247;2111201;1996;15;24,0;
54248;2111300;1996;163;29,349693251533743;
54249;2111409;1996;2;37,0;
54250;2112100;1996;1;39,0;
54251;2112209;1996;25;28,8;
54252;2112704;1996;2;42,0;
54253;2112902;1996;2;53,0;
54254;2200277;1996;1;60,0;
54255;2200400;1996;2;45,0;
54256;2200509;1996;1;26,0;
54257;2201903;1996;1;69,0;
54258;2202000;1996;1;69,0;
54259;2202703;1996;1;55,0;
54260;2203503;1996;1;45,0;
54261;2203909;1996;2;59,0;
54262;2204402;1996;1;69,0;
54263;2204709;1996;3;40,0;
54264;2205102;1996;2;28,5;
54265;2205805;1996;1;49,0;
54266;2207009;1996;1;34,0;
54267;2207702;1996;11;28,272727272727273;
54268;2208007;1996;2;29,0;
54269;2208106;1996;1;34,0;
54270;2208304;1996;1;37,0;
54271;2208403;1996;1;37,0;
54272;2210508;1996;1;46,0;
54273;2210706;1996;1;58,0;
54274;2210805;1996;2;34,0;
54275;2211001;1996;72;32,875;
54276;2211308;1996;3;20,333333333333332;
54277;2300000;1996;2;21,0;
54278;2300150;1996;1;36,0;
54279;2300200;1996;3;27,0;
54280;2300309;1996;6;35,5;
54281;2300705;1996;1;73,0;
54282;2300754;1996;1;30,0;
54283;2300903;1996;1;23,0;
54284;2301000;1996;7;39,142857142857146;
54285;2301109;1996;4;31,25;
54286;2301208;1996;1;47,0;
54287;2301307;1996;1;47,0;
54288;2301406;1996;1;65,0;
54289;2301851;1996;4;28,5;
54290;2301901;1996;3;24,0;
