;UF;ano;homicidios;idade_media;negro_proporcao
412;21;2000;348;30,620689655172413;0,8070739549839229
413;22;2000;229;30,724890829694324;0,8032786885245902
414;23;2000;1224;31,919117647058822;0,7715846994535519
415;24;2000;253;32,687747035573125;0,7336244541484717
416;25;2000;504;29,422619047619047;0,8678815489749431
417;26;2000;4268;29,67244611059044;0,8539657020364416
418;27;2000;724;30,39917127071823;0,8404423380726699
419;28;2000;409;30,3080684596577;0,7351778656126482
420;29;2000;555;30,592792792792793;0,913232104121475
421;31;2000;2087;30,765213224724484;0,6615302869287991
422;32;2000;1428;31,13795518207283;0,7230603448275862
423;33;2000;6779;29,67930373211388;0,6064730792498487
424;35;2000;15229;28,787641998818046;0,41754785169321373
425;41;2000;1732;31,51270207852194;0,20567375886524822
426;42;2000;420;34,17619047619048;0,14361702127659576
427;43;2000;1652;31,93825665859564;0,16635859519408502
428;50;2000;632;32,21360759493671;0,5085324232081911
429;51;2000;951;33,392218717139855;0,6377607025246982
430;52;2000;1058;31,126654064272213;0,6221419975932612
431;53;2000;674;28,14688427299703;0,8429003021148036
54;11;2001;564;32,86524822695036;0,6083499005964215
55;12;2001;121;29,570247933884296;0,6666666666666666
56;13;2001;485;29,158762886597938;0,8776371308016878
57;14;2001;107;31,57943925233645;0,7864077669902912
58;15;2001;944;30,93114406779661;0,8756998880179171
59;16;2001;182;27,65934065934066;0,9162011173184358
60;17;2001;207;33,38647342995169;0,6682926829268293
61;21;2001;559;30,597495527728086;0,8180112570356473
62;22;2001;259;31,644787644787645;0,8127853881278538
63;23;2001;1278;32,069640062597806;0,7890535917901939
64;24;2001;319;33,45454545454545;0,7773851590106007
65;25;2001;484;30,623966942148762;0,8545454545454545
66;26;2001;4663;29,491743512760024;0,8697954271961492
67;27;2001;829;29,682750301568156;0,8472622478386167
68;28;2001;516;30,858527131782946;0,7612359550561798
69;29;2001;912;28,710526315789473;0,9346991037131882
70;31;2001;2350;31,08808510638298;0,6511948529411765
71;32;2001;1448;30,802486187845304;0,7424242424242424
72;33;2001;6659;29,479951944736445;0,626359962698166
73;35;2001;15388;29,086365999480115;0,41591164605515507
74;41;2001;2003;31,625062406390413;0,17860798362333674
75;42;2001;466;33,18454935622318;0,15914489311163896
76;43;2001;1842;32,81053203040174;0,1732152739346984
77;50;2001;607;33,212520593080725;0,5109983079526227
78;51;2001;957;33,275862068965516;0,6677489177489178
79;52;2001;1144;31,337412587412587;0,656
80;53;2001;673;27,75482912332838;0,8597285067873304
81;11;2002;591;32,45346869712352;0,6678832116788321
82;12;2002;151;28,549668874172184;0,684931506849315
83;13;2002;512;29,03125;0,8802395209580839
84;14;2002;120;29,416666666666668;0,7711864406779662
85;15;2002;1163;30,912295786758385;0,8848167539267016
86;16;2002;181;27,138121546961326;0,8971428571428571
87;17;2002;169;32,81065088757396;0,75
88;21;2002;591;31,57698815566836;0,8318890814558059
89;22;2002;305;31,2655737704918;0,8436363636363636
90;23;2002;1437;31,941544885177453;0,832541567695962
91;24;2002;298;32,04026845637584;0,7598566308243727
92;25;2002;585;31,12136752136752;0,8928571428571429
93;26;2002;4350;29,520689655172415;0,8696932515337423
94;27;2002;990;30,352525252525254;0,8618421052631579
95;28;2002;554;30,06317689530686;0,8492239467849224
96;29;2002;972;28,454732510288064;0,928395061728395
97;31;2002;2963;30,81133985825177;0,6799857295754549
98;32;2002;1637;30,07452657299939;0,7370336669699727
99;33;2002;7529;29,342409350511357;0,6266211604095563
100;35;2002;14172;28,79403048264183;0,418419922713611
101;41;2002;2197;31,265361857077835;0,1814814814814815
102;42;2002;570;33,72280701754386;0,15779467680608364
103;43;2002;1895;32,35936675461741;0,1704059829059829
104;50;2002;657;32,89193302891933;0,5054773082942097
105;51;2002;945;33,12698412698413;0,6528835690968444
106;52;2002;1333;31,05476369092273;0,64049955396967
107;53;2002;621;27,82608695652174;0,8529411764705882
108;11;2003;550;33,376363636363635;0,6866791744840526
109;12;2003;145;31,76551724137931;0,7007299270072993
110;13;2003;553;28,971066907775768;0,9077490774907749
111;14;2003;106;32,68867924528302;0,7843137254901961
112;15;2003;1383;30,746926970354302;0,8908296943231441
113;16;2003;185;26,708108108108107;0,9395604395604396
114;17;2003;203;34,11330049261084;0,7920792079207921
115;21;2003;782;32,071611253196934;0,8442408376963351
116;22;2003;297;31,939393939393938;0,8763636363636363
117;23;2003;1549;32,912201420271145;0,825414364640884
118;24;2003;404;32,39356435643565;0,7439353099730458
119;25;2003;607;31,461285008237233;0,9083969465648855
120;26;2003;4486;29,594070441373162;0,8666993383974516
121;27;2003;1039;29,935514918190567;0,9090909090909091
122;28;2003;467;30,237687366167023;0,8171091445427728
123;29;2003;1236;28,271844660194176;0,9549632352941176
124;31;2003;3830;30,009399477806788;0,6893442622950819
125;32;2003;1617;30,458256029684602;0,7238252267106348
126;33;2003;7144;29,540593505039194;0,6345657781599312
127;35;2003;13628;29,053639565600236;0,41580654674137424
128;41;2003;2489;30,99156287665729;0,16611842105263158
129;42;2003;658;32,39969604863222;0,1695205479452055
130;43;2003;1892;32,619978858350954;0,18683651804670912
131;50;2003;692;32,286127167630056;0,5545722713864307
132;51;2003;888;32,531531531531535;0,6670454545454545
133;52;2003;1317;30,97722095671982;0,693969396939694
134;53;2003;716;27,93435754189944;0,8519040902679831
135;11;2004;547;31,881170018281537;0,6871401151631478
136;12;2004;114;29,140350877192983;0,7476635514018691
137;13;2004;518;29,969111969111967;0,8562992125984252
138;14;2004;84;29,976190476190474;0,8048780487804879
139;15;2004;1496;30,81216577540107;0,8957632817753867
140;16;2004;172;26,441860465116278;0,9411764705882353
141;17;2004;196;32,734693877551024;0,7551020408163265
142;21;2004;721;31,055478502080444;0,8787023977433004
143;22;2004;324;31,85185185185185;0,8327759197324415
144;23;2004;1576;31,6751269035533;0,8347305389221557
145;24;2004;342;31,00877192982456;0,7928802588996764
146;25;2004;662;31,861027190332326;0,9221453287197232
147;26;2004;4138;29,3615273078782;0,8855656697009102
148;27;2004;1035;29,88502415458937;0,9315789473684211
149;28;2004;437;31,06407322654462;0,8485804416403786
150;29;2004;1452;28,952479338842974;0,9402420574886535
151;31;2004;4269;29,779105176856408;0,7126042177538009
152;32;2004;1612;30,01240694789082;0,7808798646362098
153;33;2004;6797;29,455347947623952;0,6445347786811202
154;35;2004;10574;29,718554946094194;0,4171662384622704
155;41;2004;2740;30,614598540145984;0,18996282527881042
156;42;2004;628;34,55732484076433;0,16580310880829016
157;43;2004;1969;31,776536312849164;0,19559651817716334
158;50;2004;643;32,581648522550545;0,5816164817749604
