mes,uf,codigo_ibge,nome_mun,valor
202007,AC,1200013,ACRELANDIA,3662400.0
202007,AC,1200054,ASSIS BRASIL,3260400.0
202007,AC,1200104,BRASILEIA,7830600.0
202007,AC,1200138,BUJARI,3168000.0
202007,AC,1200179,CAPIXABA,2942400.0
202007,AC,1200203,CRUZEIRO DO SUL,21907800.0
202007,AC,1200252,EPITACIOLANDIA,4833000.0
202007,AC,1200302,FEIJO,8208600.0
202007,AC,1200328,JORDAO,1981200.0
202007,AC,1200336,MANCIO LIMA,4874400.0
202007,AC,1200344,MANOEL URBANO,2882400.0
202007,AC,1200351,MARECHAL THAUMATURGO,4075800.0
202007,AC,1200385,PLACIDO DE CASTRO,3834000.0
202007,AC,1200393,PORTO WALTER,2301600.0
202007,AC,1200401,RIO BRANCO,84108600.0
202007,AC,1200427,RODRIGUES ALVES,3656400.0
202007,AC,1200435,SANTA ROSA DO PURUS,1432800.0
202007,AC,1200450,SENADOR GUIOMARD,6703800.0
202007,AC,1200500,SENA MADUREIRA,11613600.0
202007,AC,1200609,TARAUACA,10951200.0
202007,AC,1200708,XAPURI,4404000.0
202007,AC,1200807,PORTO ACRE,5170800.0
202007,AL,2700102,AGUA BRANCA,4785600.0
202007,AL,2700201,ANADIA,4092000.0
202007,AL,2700300,ARAPIRACA,56133000.0
202007,AL,2700409,ATALAIA,11683800.0
202007,AL,2700508,BARRA DE SANTO ANTONIO,5336400.0
202007,AL,2700607,BARRA DE SAO MIGUEL,2368800.0
202007,AL,2700706,BATALHA,4838400.0
202007,AL,2700805,BELEM,1439400.0
202007,AL,2700904,BELO MONTE,1808400.0
202007,AL,2701001,BOCA DA MATA,6333000.0
202007,AL,2701100,BRANQUINHA,3222000.0
202007,AL,2701209,CACIMBINHAS,2905200.0
202007,AL,2701308,CAJUEIRO,5221800.0
202007,AL,2701357,CAMPESTRE,1979400.0
202007,AL,2701407,CAMPO ALEGRE,8903400.0
202007,AL,2701506,CAMPO GRANDE,3003000.0
202007,AL,2701605,CANAPI,5590800.0
202007,AL,2701704,CAPELA,3707400.0
202007,AL,2701803,CARNEIROS,2631000.0
202007,AL,2701902,CHA PRETA,1794000.0
202007,AL,2702009,COITE DO NOIA,2764800.0
202007,AL,2702108,COLONIA LEOPOLDINA,5499600.0
