mes,uf,codigo_ibge,nome_mun,valor
202008,AC,1200013,ACRELANDIA,3393000.0
202008,AC,1200054,ASSIS BRASIL,2983800.0
202008,AC,1200104,BRASILEIA,7166400.0
202008,AC,1200138,BUJARI,2905800.0
202008,AC,1200179,CAPIXABA,2686200.0
202008,AC,1200203,CRUZEIRO DO SUL,20566200.0
202008,AC,1200252,EPITACIOLANDIA,4497000.0
202008,AC,1200302,FEIJO,7757400.0
202008,AC,1200328,JORDAO,1877400.0
202008,AC,1200336,MANCIO LIMA,4694400.0
202008,AC,1200344,MANOEL URBANO,2700600.0
202008,AC,1200351,MARECHAL THAUMATURGO,3838800.0
202008,AC,1200385,PLACIDO DE CASTRO,3534000.0
202008,AC,1200393,PORTO WALTER,2190000.0
202008,AC,1200401,RIO BRANCO,76001400.0
202008,AC,1200427,RODRIGUES ALVES,3550800.0
202008,AC,1200435,SANTA ROSA DO PURUS,1395600.0
202008,AC,1200450,SENADOR GUIOMARD,6257400.0
202008,AC,1200500,SENA MADUREIRA,10887000.0
202008,AC,1200609,TARAUACA,10450800.0
202008,AC,1200708,XAPURI,4042800.0
202008,AC,1200807,PORTO ACRE,4766400.0
202008,AL,2700102,AGUA BRANCA,4519800.0
202008,AL,2700201,ANADIA,3897000.0
202008,AL,2700300,ARAPIRACA,50378400.0
202008,AL,2700409,ATALAIA,11073000.0
202008,AL,2700508,BARRA DE SANTO ANTONIO,5107800.0
202008,AL,2700607,BARRA DE SAO MIGUEL,2205000.0
202008,AL,2700706,BATALHA,4555800.0
202008,AL,2700805,BELEM,1334400.0
202008,AL,2700904,BELO MONTE,1723200.0
202008,AL,2701001,BOCA DA MATA,5969400.0
202008,AL,2701100,BRANQUINHA,2994600.0
202008,AL,2701209,CACIMBINHAS,2734200.0
202008,AL,2701308,CAJUEIRO,4961400.0
202008,AL,2701357,CAMPESTRE,1903800.0
202008,AL,2701407,CAMPO ALEGRE,8365200.0
202008,AL,2701506,CAMPO GRANDE,2917800.0
202008,AL,2701605,CANAPI,5373600.0
202008,AL,2701704,CAPELA,3462600.0
202008,AL,2701803,CARNEIROS,2480400.0
202008,AL,2701902,CHA PRETA,1700400.0
202008,AL,2702009,COITE DO NOIA,2573400.0
202008,AL,2702108,COLONIA LEOPOLDINA,5224200.0
202008,AL,2702207,COQUEIRO SECO,1302000.0
202008,AL,2702306,CORURIPE,11332200.0
202008,AL,2702355,CRAIBAS,6060000.0
202008,AL,2702405,DELMIRO GOUVEIA,12168600.0
202008,AL,2702504,DOIS RIACHOS,2641200.0
202008,AL,2702553,ESTRELA DE ALAGOAS,3900600.0
202008,AL,2702603,FEIRA GRANDE,6007800.0
202008,AL,2702702,FELIZ DESERTO,1118400.0
202008,AL,2702801,FLEXEIRAS,3154800.0
202008,AL,2702900,GIRAU DO PONCIANO,8455200.0
202008,AL,2703007,IBATEGUARA,3819600.0
202008,AL,2703106,IGACI,6606600.0
202008,AL,2703205,IGREJA NOVA,5464800.0
202008,AL,2703304,INHAPI,4204200.0
202008,AL,2703403,JACARE DOS HOMENS,1462800.0
202008,AL,2703502,JACUIPE,1596600.0
202008,AL,2703601,JAPARATINGA,2533800.0
202008,AL,2703700,JARAMATAIA,1356000.0
202008,AL,2703759,JEQUIA DA PRAIA,2777400.0
202008,AL,2703809,JOAQUIM GOMES,5454000.0
202008,AL,2703908,JUNDIA,1131600.0
202008,AL,2704005,JUNQUEIRO,5966400.0
202008,AL,2704104,LAGOA DA CANOA,4757400.0
202008,AL,2704203,LIMOEIRO DE ANADIA,6068400.0
202008,AL,2704302,MACEIO,186630600.0
202008,AL,2704401,MAJOR ISIDORO,4825800.0
202008,AL,2704500,MARAGOGI,8484000.0
202008,AL,2704609,MARAVILHA,3024600.0
202008,AL,2704708,MARECHAL DEODORO,13533000.0
202008,AL,2704807,MARIBONDO,3142800.0
202008,AL,2704906,MAR VERMELHO,919200.0
202008,AL,2705002,MATA GRANDE,5035200.0
202008,AL,2705101,MATRIZ DE CAMARAGIBE,5741400.0
202008,AL,2705200,MESSIAS,3761400.0
202008,AL,2705309,MINADOR DO NEGRAO,1233000.0
202008,AL,2705408,MONTEIROPOLIS,2048400.0
202008,AL,2705507,MURICI,6895800.0
202008,AL,2705606,NOVO LINO,2764200.0
202008,AL,2705705,OLHO D'AGUA DAS FLORES,4884000.0
202008,AL,2705804,OLHO D'AGUA DO CASADO,2349600.0
202008,AL,2705903,OLHO D'AGUA GRANDE,1559400.0
202008,AL,2706000,OLIVENCA,2954400.0
202008,AL,2706109,OURO BRANCO,3292200.0
202008,AL,2706208,PALESTINA,1239000.0
202008,AL,2706307,PALMEIRA DOS INDIOS,17028600.0
202008,AL,2706406,PAO DE ACUCAR,5703600.0
202008,AL,2706422,PARICONHA,2566800.0
202008,AL,2706448,PARIPUEIRA,3665400.0
202008,AL,2706505,PASSO DE CAMARAGIBE,3286200.0
202008,AL,2706604,PAULO JACINTO,1813200.0
202008,AL,2706703,PENEDO,15661200.0
202008,AL,2706802,PIACABUCU,5152800.0
202008,AL,2706901,PILAR,9261000.0
202008,AL,2707008,PINDOBA,532800.0
202008,AL,2707107,PIRANHAS,5988000.0
202008,AL,2707206,POCO DAS TRINCHEIRAS,3396600.0
202008,AL,2707305,PORTO CALVO,7578600.0
202008,AL,2707404,PORTO DE PEDRAS,2241600.0
202008,AL,2707503,PORTO REAL DO COLEGIO,5569200.0
202008,AL,2707602,QUEBRANGULO,3115200.0
202008,AL,2707701,RIO LARGO,21317400.0
202008,AL,2707800,ROTEIRO,1765200.0
202008,AL,2707909,SANTA LUZIA DO NORTE,1708200.0
202008,AL,2708006,SANTANA DO IPANEMA,11848200.0
202008,AL,2708105,SANTANA DO MUNDAU,2817000.0
202008,AL,2708204,SAO BRAS,1676400.0
202008,AL,2708303,SAO JOSE DA LAJE,5619600.0
202008,AL,2708402,SAO JOSE DA TAPERA,8321400.0
202008,AL,2708501,SAO LUIS DO QUITUNDE,8174400.0
202008,AL,2708600,SAO MIGUEL DOS CAMPOS,12861000.0
202008,AL,2708709,SAO MIGUEL DOS MILAGRES,2116800.0
202008,AL,2708808,SAO SEBASTIAO,8488800.0
202008,AL,2708907,SATUBA,4135200.0
202008,AL,2708956,SENADOR RUI PALMEIRA,3366600.0
202008,AL,2709004,TANQUE D'ARCA,1460400.0
202008,AL,2709103,TAQUARANA,4440000.0
202008,AL,2709152,TEOTONIO VILELA,8994000.0
202008,AL,2709202,TRAIPU,5199000.0
202008,AL,2709301,UNIAO DOS PALMARES,16500600.0
202008,AL,2709400,VICOSA,6550200.0
202008,AM,1300029,ALVARAES,3743400.0
202008,AM,1300060,AMATURA,2338800.0
202008,AM,1300086,ANAMA,2736000.0
202008,AM,1300102,ANORI,3852000.0
202008,AM,1300144,APUI,3336000.0
202008,AM,1300201,ATALAIA DO NORTE,2999400.0
202008,AM,1300300,AUTAZES,11619600.0
202008,AM,1300409,BARCELOS,4311600.0
202008,AM,1300508,BARREIRINHA,8149800.0
202008,AM,1300607,BENJAMIN CONSTANT,8329200.0
202008,AM,1300631,BERURI,6152400.0
202008,AM,1300680,BOA VISTA DO RAMOS,4032000.0
202008,AM,1300706,BOCA DO ACRE,8544000.0
202008,AM,1300805,BORBA,8057400.0
202008,AM,1300839,CAAPIRANGA,2915400.0
