mes,uf,codigo_ibge,nome_mun,valor
202101,AC,1200013,ACRELANDIA,6000.0
202101,AC,1200054,ASSIS BRASIL,10800.0
202101,AC,1200104,BRASILEIA,9900.0
202101,AC,1200138,BUJARI,16200.0
202101,AC,1200179,CAPIXABA,1200.0
202101,AC,1200203,CRUZEIRO DO SUL,34500.0
202101,AC,1200252,EPITACIOLANDIA,12600.0
202101,AC,1200302,FEIJO,8400.0
202101,AC,1200328,JORDAO,1200.0
202101,AC,1200336,MANCIO LIMA,5400.0
202101,AC,1200344,MANOEL URBANO,3300.0
202101,AC,1200351,MARECHAL THAUMATURGO,3000.0
202101,AC,1200385,PLACIDO DE CASTRO,9900.0
202101,AC,1200393,PORTO WALTER,1500.0
202101,AC,1200401,RIO BRANCO,261600.0
202101,AC,1200427,RODRIGUES ALVES,600.0
202101,AC,1200435,SANTA ROSA DO PURUS,600.0
202101,AC,1200450,SENADOR GUIOMARD,5100.0
202101,AC,1200500,SENA MADUREIRA,17100.0
202101,AC,1200609,TARAUACA,14100.0
202101,AC,1200708,XAPURI,12300.0
202101,AC,1200807,PORTO ACRE,3900.0
202101,AL,2700102,AGUA BRANCA,10200.0
202101,AL,2700201,ANADIA,5700.0
202101,AL,2700300,ARAPIRACA,140700.0
202101,AL,2700409,ATALAIA,4200.0
202101,AL,2700508,BARRA DE SANTO ANTONIO,5100.0
202101,AL,2700607,BARRA DE SAO MIGUEL,1800.0
202101,AL,2700706,BATALHA,2700.0
202101,AL,2700805,BELEM,3300.0
202101,AL,2701001,BOCA DA MATA,2100.0
202101,AL,2701100,BRANQUINHA,2400.0
202101,AL,2701209,CACIMBINHAS,2400.0
202101,AL,2701308,CAJUEIRO,3600.0
202101,AL,2701407,CAMPO ALEGRE,2100.0
202101,AL,2701506,CAMPO GRANDE,300.0
202101,AL,2701605,CANAPI,6300.0
202101,AL,2701704,CAPELA,1800.0
202101,AL,2701803,CARNEIROS,900.0
202101,AL,2701902,CHA PRETA,3000.0
202101,AL,2702009,COITE DO NOIA,1500.0
202101,AL,2702108,COLONIA LEOPOLDINA,2400.0
202101,AL,2702207,COQUEIRO SECO,1800.0
202101,AL,2702306,CORURIPE,31800.0
202101,AL,2702355,CRAIBAS,6600.0
202101,AL,2702405,DELMIRO GOUVEIA,21600.0
202101,AL,2702504,DOIS RIACHOS,3000.0
202101,AL,2702553,ESTRELA DE ALAGOAS,1800.0
202101,AL,2702603,FEIRA GRANDE,6000.0
202101,AL,2702702,FELIZ DESERTO,900.0
202101,AL,2702801,FLEXEIRAS,600.0
202101,AL,2702900,GIRAU DO PONCIANO,9600.0
202101,AL,2703007,IBATEGUARA,3000.0
202101,AL,2703106,IGACI,5400.0
202101,AL,2703205,IGREJA NOVA,5700.0
202101,AL,2703304,INHAPI,4800.0
202101,AL,2703502,JACUIPE,2100.0
202101,AL,2703601,JAPARATINGA,1500.0
202101,AL,2703759,JEQUIA DA PRAIA,2700.0
202101,AL,2703809,JOAQUIM GOMES,2400.0
202101,AL,2703908,JUNDIA,900.0
202101,AL,2704005,JUNQUEIRO,4800.0
202101,AL,2704104,LAGOA DA CANOA,9900.0
202101,AL,2704203,LIMOEIRO DE ANADIA,3300.0
202101,AL,2704302,MACEIO,531300.0
202101,AL,2704401,MAJOR ISIDORO,3000.0
202101,AL,2704500,MARAGOGI,9600.0
202101,AL,2704609,MARAVILHA,4200.0
202101,AL,2704708,MARECHAL DEODORO,15600.0
202101,AL,2704807,MARIBONDO,6900.0
202101,AL,2705002,MATA GRANDE,2100.0
202101,AL,2705101,MATRIZ DE CAMARAGIBE,4500.0
202101,AL,2705200,MESSIAS,1800.0
202101,AL,2705408,MONTEIROPOLIS,600.0
202101,AL,2705507,MURICI,7800.0
202101,AL,2705606,NOVO LINO,900.0
202101,AL,2705705,OLHO D'AGUA DAS FLORES,7200.0
202101,AL,2705804,OLHO D'AGUA DO CASADO,6300.0
202101,AL,2705903,OLHO D'AGUA GRANDE,300.0
202101,AL,2706000,OLIVENCA,1800.0
202101,AL,2706109,OURO BRANCO,900.0
202101,AL,2706208,PALESTINA,900.0
202101,AL,2706307,PALMEIRA DOS INDIOS,24600.0
