mes,uf,codigo_ibge,nome_mun,valor
202010,AC,1200013,ACRELANDIA,1637054.0
202010,AC,1200054,ASSIS BRASIL,1406671.0
202010,AC,1200104,BRASILEIA,3760444.0
202010,AC,1200138,BUJARI,1432865.0
202010,AC,1200179,CAPIXABA,1229188.0
202010,AC,1200203,CRUZEIRO DO SUL,8395634.0
202010,AC,1200252,EPITACIOLANDIA,2440195.0
202010,AC,1200302,FEIJO,2867467.0
202010,AC,1200328,JORDAO,512502.0
202010,AC,1200336,MANCIO LIMA,1443281.0
202010,AC,1200344,MANOEL URBANO,868129.0
202010,AC,1200351,MARECHAL THAUMATURGO,1162898.0
202010,AC,1200385,PLACIDO DE CASTRO,1915960.0
202010,AC,1200393,PORTO WALTER,656865.0
202010,AC,1200401,RIO BRANCO,44991275.0
202010,AC,1200427,RODRIGUES ALVES,1113168.0
202010,AC,1200435,SANTA ROSA DO PURUS,295774.0
202010,AC,1200450,SENADOR GUIOMARD,2426910.0
202010,AC,1200500,SENA MADUREIRA,3823511.0
202010,AC,1200609,TARAUACA,2918486.0
202010,AC,1200708,XAPURI,1992622.0
202010,AC,1200807,PORTO ACRE,2018185.0
202010,AL,2700102,AGUA BRANCA,1542907.0
202010,AL,2700201,ANADIA,1520251.0
202010,AL,2700300,ARAPIRACA,28951677.0
202010,AL,2700409,ATALAIA,4174765.0
202010,AL,2700508,BARRA DE SANTO ANTONIO,1888833.0
202010,AL,2700607,BARRA DE SAO MIGUEL,1044159.0
202010,AL,2700706,BATALHA,1584291.0
202010,AL,2700805,BELEM,533812.0
202010,AL,2700904,BELO MONTE,543262.0
202010,AL,2701001,BOCA DA MATA,2503690.0
202010,AL,2701100,BRANQUINHA,1283091.0
202010,AL,2701209,CACIMBINHAS,1024480.0
202010,AL,2701308,CAJUEIRO,1957741.0
202010,AL,2701357,CAMPESTRE,673484.0
202010,AL,2701407,CAMPO ALEGRE,3494096.0
202010,AL,2701506,CAMPO GRANDE,843168.0
202010,AL,2701605,CANAPI,1466891.0
202010,AL,2701704,CAPELA,1380366.0
202010,AL,2701803,CARNEIROS,835175.0
202010,AL,2701902,CHA PRETA,518743.0
202010,AL,2702009,COITE DO NOIA,1081387.0
202010,AL,2702108,COLONIA LEOPOLDINA,1857855.0
202010,AL,2702207,COQUEIRO SECO,588345.0
202010,AL,2702306,CORURIPE,5829598.0
202010,AL,2702355,CRAIBAS,2274385.0
202010,AL,2702405,DELMIRO GOUVEIA,5957789.0
202010,AL,2702504,DOIS RIACHOS,1061198.0
202010,AL,2702553,ESTRELA DE ALAGOAS,1451627.0
202010,AL,2702603,FEIRA GRANDE,2168316.0
202010,AL,2702702,FELIZ DESERTO,548231.0
202010,AL,2702801,FLEXEIRAS,1220930.0
202010,AL,2702900,GIRAU DO PONCIANO,2905429.0
202010,AL,2703007,IBATEGUARA,1484688.0
202010,AL,2703106,IGACI,2207871.0
202010,AL,2703205,IGREJA NOVA,2372335.0
202010,AL,2703304,INHAPI,1619570.0
202010,AL,2703403,JACARE DOS HOMENS,519610.0
202010,AL,2703502,JACUIPE,665312.0
202010,AL,2703601,JAPARATINGA,949150.0
202010,AL,2703700,JARAMATAIA,475187.0
202010,AL,2703759,JEQUIA DA PRAIA,888376.0
202010,AL,2703809,JOAQUIM GOMES,2429602.0
202010,AL,2703908,JUNDIA,387253.0
202010,AL,2704005,JUNQUEIRO,2477691.0
202010,AL,2704104,LAGOA DA CANOA,1735335.0
202010,AL,2704203,LIMOEIRO DE ANADIA,2213185.0
202010,AL,2704302,MACEIO,115655041.0
202010,AL,2704401,MAJOR ISIDORO,1787055.0
202010,AL,2704500,MARAGOGI,3930388.0
202010,AL,2704609,MARAVILHA,1062287.0
202010,AL,2704708,MARECHAL DEODORO,6334793.0
202010,AL,2704807,MARIBONDO,1412955.0
202010,AL,2704906,MAR VERMELHO,327670.0
202010,AL,2705002,MATA GRANDE,1859419.0
202010,AL,2705101,MATRIZ DE CAMARAGIBE,2583747.0
202010,AL,2705200,MESSIAS,1753360.0
202010,AL,2705309,MINADOR DO NEGRAO,494609.0
202010,AL,2705408,MONTEIROPOLIS,715439.0
202010,AL,2705507,MURICI,2939230.0
202010,AL,2705606,NOVO LINO,1051500.0
202010,AL,2705705,OLHO D'AGUA DAS FLORES,2480708.0
202010,AL,2705804,OLHO D'AGUA DO CASADO,864178.0
202010,AL,2705903,OLHO D'AGUA GRANDE,398408.0
202010,AL,2706000,OLIVENCA,1008843.0
202010,AL,2706109,OURO BRANCO,1130076.0
202010,AL,2706208,PALESTINA,503388.0
202010,AL,2706307,PALMEIRA DOS INDIOS,7621609.0
202010,AL,2706406,PAO DE ACUCAR,2598254.0
202010,AL,2706422,PARICONHA,935564.0
202010,AL,2706448,PARIPUEIRA,1636170.0
202010,AL,2706505,PASSO DE CAMARAGIBE,1414568.0
202010,AL,2706604,PAULO JACINTO,688058.0
202010,AL,2706703,PENEDO,6964620.0
202010,AL,2706802,PIACABUCU,1736992.0
202010,AL,2706901,PILAR,4022871.0
202010,AL,2707008,PINDOBA,227767.0
202010,AL,2707107,PIRANHAS,2384734.0
202010,AL,2707206,POCO DAS TRINCHEIRAS,1101227.0
202010,AL,2707305,PORTO CALVO,3117988.0
202010,AL,2707404,PORTO DE PEDRAS,868876.0
202010,AL,2707503,PORTO REAL DO COLEGIO,1881086.0
202010,AL,2707602,QUEBRANGULO,1041825.0
202010,AL,2707701,RIO LARGO,11108775.0
202010,AL,2707800,ROTEIRO,669685.0
202010,AL,2707909,SANTA LUZIA DO NORTE,785024.0
202010,AL,2708006,SANTANA DO IPANEMA,4730833.0
202010,AL,2708105,SANTANA DO MUNDAU,1144409.0
202010,AL,2708204,SAO BRAS,690224.0
202010,AL,2708303,SAO JOSE DA LAJE,2555231.0
202010,AL,2708402,SAO JOSE DA TAPERA,2874909.0
202010,AL,2708501,SAO LUIS DO QUITUNDE,3329630.0
202010,AL,2708600,SAO MIGUEL DOS CAMPOS,5977977.0
202010,AL,2708709,SAO MIGUEL DOS MILAGRES,1009594.0
202010,AL,2708808,SAO SEBASTIAO,3095773.0
202010,AL,2708907,SATUBA,2457770.0
202010,AL,2708956,SENADOR RUI PALMEIRA,1154891.0
202010,AL,2709004,TANQUE D'ARCA,557614.0
202010,AL,2709103,TAQUARANA,2012645.0
202010,AL,2709152,TEOTONIO VILELA,3898910.0
202010,AL,2709202,TRAIPU,1741197.0
202010,AL,2709301,UNIAO DOS PALMARES,7988975.0
202010,AL,2709400,VICOSA,2590692.0
202010,AM,1300029,ALVARAES,1345708.0
202010,AM,1300060,AMATURA,904916.0
202010,AM,1300086,ANAMA,865041.0
202010,AM,1300102,ANORI,1269570.0
202010,AM,1300144,APUI,1721540.0
202010,AM,1300201,ATALAIA DO NORTE,872998.0
202010,AM,1300300,AUTAZES,4160883.0
202010,AM,1300409,BARCELOS,1761822.0
202010,AM,1300508,BARREIRINHA,2564773.0
202010,AM,1300607,BENJAMIN CONSTANT,2770742.0
202010,AM,1300631,BERURI,1904051.0
202010,AM,1300680,BOA VISTA DO RAMOS,1460580.0
202010,AM,1300706,BOCA DO ACRE,3701471.0
202010,AM,1300805,BORBA,2693224.0
202010,AM,1300839,CAAPIRANGA,1097560.0
202010,AM,1300904,CANUTAMA,922555.0
202010,AM,1301001,CARAUARI,2491602.0
202010,AM,1301100,CAREIRO,3754813.0
202010,AM,1301159,CAREIRO DA VARZEA,1734366.0
202010,AM,1301209,COARI,8669712.0
202010,AM,1301308,CODAJAS,2210802.0
202010,AM,1301407,EIRUNEPE,2609021.0
202010,AM,1301506,ENVIRA,957640.0
202010,AM,1301605,FONTE BOA,2225818.0
202010,AM,1301654,GUAJARA,998573.0
202010,AM,1301704,HUMAITA,5246207.0
202010,AM,1301803,IPIXUNA,1251348.0
202010,AM,1301852,IRANDUBA,7551341.0
202010,AM,1301902,ITACOATIARA,11405139.0
202010,AM,1301951,ITAMARATI,874858.0
202010,AM,1302009,ITAPIRANGA,988832.0
202010,AM,1302108,JAPURA,622933.0
202010,AM,1302207,JURUA,777850.0
202010,AM,1302306,JUTAI,1678797.0
202010,AM,1302405,LABREA,2887426.0
202010,AM,1302504,MANACAPURU,11743153.0
202010,AM,1302553,MANAQUIRI,1629979.0
202010,AM,1302603,MANAUS,305625385.0
202010,AM,1302702,MANICORE,4592258.0
202010,AM,1302801,MARAA,937340.0
202010,AM,1302900,MAUES,4956400.0
202010,AM,1303007,NHAMUNDA,1563750.0
202010,AM,1303106,NOVA OLINDA DO NORTE,2705102.0
202010,AM,1303205,NOVO AIRAO,1626430.0
202010,AM,1303304,NOVO ARIPUANA,1688303.0
202010,AM,1303403,PARINTINS,11573446.0
202010,AM,1303502,PAUINI,1194658.0
202010,AM,1303536,PRESIDENTE FIGUEIREDO,4033165.0
202010,AM,1303569,RIO PRETO DA EVA,3027744.0
202010,AM,1303601,SANTA ISABEL DO RIO NEGRO,977799.0
202010,AM,1303700,SANTO ANTONIO DO ICA,1915238.0
202010,AM,1303809,SAO GABRIEL DA CACHOEIRA,3089157.0
202010,AM,1303908,SAO PAULO DE OLIVENCA,2059468.0
202010,AM,1303957,SAO SEBASTIAO DO UATUMA,954001.0
202010,AM,1304005,SILVES,811409.0
202010,AM,1304062,TABATINGA,6369109.0
202010,AM,1304104,TAPAUA,1825621.0
202010,AM,1304203,TEFE,7136029.0
202010,AM,1304237,TONANTINS,1243691.0
202010,AM,1304260,UARINI,857727.0
202010,AM,1304302,URUCARA,1496510.0
202010,AM,1304401,URUCURITUBA,1234510.0
202010,AP,1600055,SERRA DO NAVIO,535821.0
202010,AP,1600105,AMAPA,3123930.0
202010,AP,1600154,PEDRA BRANCA DO AMAPARI,1215328.0
202010,AP,1600204,CALCOENE,1399510.0
202010,AP,1600212,CUTIAS,521974.0
202010,AP,1600238,FERREIRA GOMES,900611.0
202010,AP,1600253,ITAUBAL,574563.0
202010,AP,1600279,LARANJAL DO JARI,5307420.0
202010,AP,1600303,MACAPA,61272746.0
202010,AP,1600402,MAZAGAO,2037394.0
202010,AP,1600501,OIAPOQUE,4383698.0
202010,AP,1600535,PORTO GRANDE,2301821.0
202010,AP,1600550,PRACUUBA,457387.0
202010,AP,1600600,SANTANA,15032836.0
202010,AP,1600709,TARTARUGALZINHO,1129555.0
202010,AP,1600808,VITORIA DO JARI,1255955.0
202010,BA,2900108,ABAIRA,827187.0
202010,BA,2900207,ABARE,1761415.0
202010,BA,2900306,ACAJUTIBA,1869910.0
202010,BA,2900355,ADUSTINA,1609508.0
202010,BA,2900405,AGUA FRIA,1551414.0
202010,BA,2900504,ERICO CARDOSO,801100.0
202010,BA,2900603,AIQUARA,442512.0
202010,BA,2900702,ALAGOINHAS,18352997.0
202010,BA,2900801,ALCOBACA,2772062.0
202010,BA,2900900,ALMADINA,553125.0
202010,BA,2901007,AMARGOSA,3915818.0
202010,BA,2901106,AMELIA RODRIGUES,2921691.0
202010,BA,2901155,AMERICA DOURADA,1720378.0
202010,BA,2901205,ANAGE,2255820.0
202010,BA,2901304,ANDARAI,1252034.0
202010,BA,2901353,ANDORINHA,1604967.0
202010,BA,2901403,ANGICAL,1236128.0
202010,BA,2901502,ANGUERA,949297.0
202010,BA,2901601,ANTAS,1274116.0
202010,BA,2901700,ANTONIO CARDOSO,1152640.0
202010,BA,2901809,ANTONIO GONCALVES,988050.0
202010,BA,2901908,APORA,1715254.0
202010,BA,2901957,APUAREMA,724500.0
202010,BA,2902005,ARACATU,1303942.0
202010,BA,2902054,ARACAS,1341866.0
202010,BA,2902104,ARACI,5647581.0
202010,BA,2902203,ARAMARI,1111552.0
202010,BA,2902252,ARATACA,787622.0
202010,BA,2902302,ARATUIPE,961422.0
202010,BA,2902401,AURELINO LEAL,1292350.0
202010,BA,2902500,BAIANOPOLIS,1100790.0
202010,BA,2902609,BAIXA GRANDE,1969791.0
202010,BA,2902658,BANZAE,1088943.0
202010,BA,2902708,BARRA,5115516.0
202010,BA,2902807,BARRA DA ESTIVA,2729884.0
202010,BA,2902906,BARRA DO CHOCA,3790327.0
202010,BA,2903003,BARRA DO MENDES,1524877.0
202010,BA,2903102,BARRA DO ROCHA,516306.0
202010,BA,2903201,BARREIRAS,18027385.0
202010,BA,2903235,BARRO ALTO,1412386.0
202010,BA,2903276,BARROCAS,1612654.0
202010,BA,2903300,BARRO PRETO,656354.0
202010,BA,2903409,BELMONTE,2294820.0
202010,BA,2903508,BELO CAMPO,2069230.0
202010,BA,2903607,BIRITINGA,1577079.0
202010,BA,2903706,BOA NOVA,1482017.0
202010,BA,2903805,BOA VISTA DO TUPIM,1486536.0
202010,BA,2903904,BOM JESUS DA LAPA,7343758.0
202010,BA,2903953,BOM JESUS DA SERRA,886353.0
202010,BA,2904001,BONINAL,1396909.0
202010,BA,2904050,BONITO,1759325.0
202010,BA,2904100,BOQUIRA,1560033.0
202010,BA,2904209,BOTUPORA,1046497.0
202010,BA,2904308,BREJOES,1396647.0
202010,BA,2904407,BREJOLANDIA,892063.0
202010,BA,2904506,BROTAS DE MACAUBAS,1031168.0
202010,BA,2904605,BRUMADO,7983048.0
202010,BA,2904704,BUERAREMA,1931949.0
202010,BA,2904753,BURITIRAMA,1742943.0
202010,BA,2904803,CAATIBA,668362.0
202010,BA,2904852,CABACEIRAS DO PARAGUACU,1471587.0
202010,BA,2904902,CACHOEIRA,3751078.0
202010,BA,2905008,CACULE,2527518.0
202010,BA,2905107,CAEM,954451.0
202010,BA,2905156,CAETANOS,949411.0
202010,BA,2905206,CAETITE,5726465.0
202010,BA,2905305,CAFARNAUM,1900822.0
202010,BA,2905404,CAIRU,2261144.0
202010,BA,2905503,CALDEIRAO GRANDE,1060832.0
202010,BA,2905602,CAMACAN,2649033.0
202010,BA,2905701,CAMACARI,38577781.0
202010,BA,2905800,CAMAMU,4131212.0
202010,BA,2905909,CAMPO ALEGRE DE LOURDES,2570398.0
202010,BA,2906006,CAMPO FORMOSO,7582253.0
202010,BA,2906105,CANAPOLIS,841248.0
202010,BA,2906204,CANARANA,2542435.0
202010,BA,2906303,CANAVIEIRAS,3733151.0
202010,BA,2906402,CANDEAL,853264.0
202010,BA,2906501,CANDEIAS,11599664.0
202010,BA,2906600,CANDIBA,1202950.0
202010,BA,2906709,CANDIDO SALES,3030580.0
202010,BA,2906808,CANSANCAO,3290622.0
202010,BA,2906824,CANUDOS,1579341.0
202010,BA,2906857,CAPELA DO ALTO ALEGRE,1244535.0
202010,BA,2906873,CAPIM GROSSO,4035936.0
202010,BA,2906899,CARAIBAS,902309.0
202010,BA,2906907,CARAVELAS,2052735.0
202010,BA,2907004,CARDEAL DA SILVA,879498.0
202010,BA,2907103,CARINHANHA,2792321.0
202010,BA,2907202,CASA NOVA,7184465.0
202010,BA,2907301,CASTRO ALVES,2831832.0
202010,BA,2907400,CATOLANDIA,303061.0
202010,BA,2907509,CATU,6303926.0
202010,BA,2907558,CATURAMA,846259.0
202010,BA,2907608,CENTRAL,1898354.0
202010,BA,2907707,CHORROCHO,854753.0
202010,BA,2907806,CICERO DANTAS,3648641.0
202010,BA,2907905,CIPO,2117063.0
202010,BA,2908002,COARACI,2353610.0
202010,BA,2908101,COCOS,1845593.0
202010,BA,2908200,CONCEICAO DA FEIRA,2418710.0
202010,BA,2908309,CONCEICAO DO ALMEIDA,1567812.0
202010,BA,2908408,CONCEICAO DO COITE,8412585.0
202010,BA,2908507,CONCEICAO DO JACUIPE,3878910.0
202010,BA,2908606,CONDE,2891494.0
202010,BA,2908705,CONDEUBA,1535180.0
202010,BA,2908804,CONTENDAS DO SINCORA,566090.0
202010,BA,2908903,CORACAO DE MARIA,2686496.0
202010,BA,2909000,CORDEIROS,789736.0
202010,BA,2909109,CORIBE,1266776.0
202010,BA,2909208,CORONEL JOAO SA,1564175.0
202010,BA,2909307,CORRENTINA,2988506.0
202010,BA,2909406,COTEGIPE,1342841.0
202010,BA,2909505,CRAVOLANDIA,498753.0
202010,BA,2909604,CRISOPOLIS,2215398.0
202010,BA,2909703,CRISTOPOLIS,1391350.0
202010,BA,2909802,CRUZ DAS ALMAS,7565539.0
202010,BA,2909901,CURACA,3405926.0
202010,BA,2910008,DARIO MEIRA,1035727.0
202010,BA,2910057,DIAS D'AVILA,9387514.0
202010,BA,2910107,DOM BASILIO,1152989.0
202010,BA,2910206,DOM MACEDO COSTA,458256.0
202010,BA,2910305,ELISIO MEDRADO,831102.0
202010,BA,2910404,ENCRUZILHADA,1962411.0
202010,BA,2910503,ENTRE RIOS,5295430.0
202010,BA,2910602,ESPLANADA,3739706.0
202010,BA,2910701,EUCLIDES DA CUNHA,6025795.0
202010,BA,2910727,EUNAPOLIS,13320964.0
202010,BA,2910750,FATIMA,2110006.0
202010,BA,2910776,FEIRA DA MATA,768127.0
202010,BA,2910800,FEIRA DE SANTANA,79992356.0
202010,BA,2910859,FILADELFIA,1740748.0
202010,BA,2910909,FIRMINO ALVES,529379.0
202010,BA,2911006,FLORESTA AZUL,955562.0
202010,BA,2911105,FORMOSA DO RIO PRETO,2548047.0
202010,BA,2911204,GANDU,3606700.0
202010,BA,2911253,GAVIAO,539164.0
202010,BA,2911303,GENTIO DO OURO,909977.0
202010,BA,2911402,GLORIA,1675828.0
202010,BA,2911501,GONGOGI,615081.0
202010,BA,2911600,GOVERNADOR MANGABEIRA,2238860.0
202010,BA,2911659,GUAJERU,590162.0
202010,BA,2911709,GUANAMBI,9463481.0
202010,BA,2911808,GUARATINGA,2099118.0
202010,BA,2911857,HELIOPOLIS,1342835.0
202010,BA,2911907,IACU,2773558.0
202010,BA,2912004,IBIASSUCE,968229.0
202010,BA,2912103,IBICARAI,2504365.0
202010,BA,2912202,IBICOARA,1998151.0
202010,BA,2912301,IBICUI,1428339.0
202010,BA,2912400,IBIPEBA,1739156.0
202010,BA,2912509,IBIPITANGA,1453510.0
202010,BA,2912608,IBIQUERA,323463.0
202010,BA,2912707,IBIRAPITANGA,2531614.0
202010,BA,2912806,IBIRAPUA,896363.0
202010,BA,2912905,IBIRATAIA,2197471.0
202010,BA,2913002,IBITIARA,1314219.0
202010,BA,2913101,IBITITA,1853349.0
202010,BA,2913200,IBOTIRAMA,3127488.0
202010,BA,2913309,ICHU,607804.0
202010,BA,2913408,IGAPORA,1489249.0
202010,BA,2913457,IGRAPIUNA,1284183.0
202010,BA,2913507,IGUAI,1969276.0
202010,BA,2913606,ILHEUS,23336935.0
202010,BA,2913705,INHAMBUPE,4100057.0
202010,BA,2913804,IPECAETA,1199622.0
202010,BA,2913903,IPIAU,4857007.0
202010,BA,2914000,IPIRA,6947018.0
202010,BA,2914109,IPUPIARA,826979.0
202010,BA,2914208,IRAJUBA,547743.0
202010,BA,2914307,IRAMAIA,991571.0
202010,BA,2914406,IRAQUARA,2432653.0
202010,BA,2914505,IRARA,2712381.0
202010,BA,2914604,IRECE,8183955.0
202010,BA,2914653,ITABELA,3266718.0
202010,BA,2914703,ITABERABA,7476094.0
202010,BA,2914802,ITABUNA,23865161.0
202010,BA,2914901,ITACARE,3117737.0
202010,BA,2915007,ITAETE,1190617.0
202010,BA,2915106,ITAGI,1207565.0
202010,BA,2915205,ITAGIBA,1558596.0
202010,BA,2915304,ITAGIMIRIM,813783.0
202010,BA,2915353,ITAGUACU DA BAHIA,1159022.0
202010,BA,2915403,ITAJU DO COLONIA,528009.0
202010,BA,2915502,ITAJUIPE,2384589.0
202010,BA,2915601,ITAMARAJU,7530851.0
202010,BA,2915700,ITAMARI,821646.0
202010,BA,2915809,ITAMBE,2469360.0
202010,BA,2915908,ITANAGRA,719756.0
202010,BA,2916005,ITANHEM,2390420.0
202010,BA,2916104,ITAPARICA,2006219.0
202010,BA,2916203,ITAPE,994305.0
202010,BA,2916302,ITAPEBI,1147701.0
202010,BA,2916401,ITAPETINGA,7048622.0
202010,BA,2916500,ITAPICURU,3557479.0
202010,BA,2916609,ITAPITANGA,782266.0
202010,BA,2916708,ITAQUARA,854717.0
202010,BA,2916807,ITARANTIM,1887259.0
202010,BA,2916856,ITATIM,1789882.0
202010,BA,2916906,ITIRUCU,1209094.0
202010,BA,2917003,ITIUBA,3534245.0
202010,BA,2917102,ITORORO,1946844.0
202010,BA,2917201,ITUACU,2081079.0
202010,BA,2917300,ITUBERA,2726524.0
202010,BA,2917334,IUIU,1043749.0
202010,BA,2917359,JABORANDI,907531.0
202010,BA,2917409,JACARACI,1277353.0
202010,BA,2917508,JACOBINA,10180141.0
202010,BA,2917607,JAGUAQUARA,6038668.0
202010,BA,2917706,JAGUARARI,3518928.0
202010,BA,2917805,JAGUARIPE,1658756.0
202010,BA,2917904,JANDAIRA,1071077.0
202010,BA,2918001,JEQUIE,19675820.0
202010,BA,2918100,JEREMOABO,4399696.0
202010,BA,2918209,JIQUIRICA,1422922.0
202010,BA,2918308,JITAUNA,1647436.0
202010,BA,2918357,JOAO DOURADO,2752363.0
202010,BA,2918407,JUAZEIRO,26314340.0
202010,BA,2918456,JUCURUCU,974393.0
202010,BA,2918506,JUSSARA,1766504.0
202010,BA,2918555,JUSSARI,536237.0
202010,BA,2918605,JUSSIAPE,738529.0
202010,BA,2918704,LAFAIETE COUTINHO,380698.0
202010,BA,2918753,LAGOA REAL,1038462.0
202010,BA,2918803,LAJE,2621033.0
202010,BA,2918902,LAJEDAO,576064.0
202010,BA,2919009,LAJEDINHO,360177.0
202010,BA,2919058,LAJEDO DO TABOCAL,758940.0
202010,BA,2919108,LAMARAO,814965.0
202010,BA,2919157,LAPAO,3009811.0
202010,BA,2919207,LAURO DE FREITAS,27602007.0
202010,BA,2919306,LENCOIS,1239372.0
202010,BA,2919405,LICINIO DE ALMEIDA,1264049.0
202010,BA,2919504,LIVRAMENTO DE NOSSA SENHORA,4823872.0
202010,BA,2919553,LUIS EDUARDO MAGALHAES,10294084.0
202010,BA,2919603,MACAJUBA,1135155.0
202010,BA,2919702,MACARANI,1645435.0
202010,BA,2919801,MACAUBAS,4273566.0
202010,BA,2919900,MACURURE,631279.0
202010,BA,2919926,MADRE DE DEUS,2253498.0
202010,BA,2919959,MAETINGA,614833.0
202010,BA,2920007,MAIQUINIQUE,894328.0
202010,BA,2920106,MAIRI,1680621.0
202010,BA,2920205,MALHADA,1386258.0
202010,BA,2920304,MALHADA DE PEDRAS,899095.0
202010,BA,2920403,MANOEL VITORINO,1607306.0
202010,BA,2920452,MANSIDAO,876067.0
202010,BA,2920502,MARACAS,2766667.0
202010,BA,2920601,MARAGOGIPE,4836130.0
202010,BA,2920700,MARAU,2205921.0
202010,BA,2920809,MARCIONILIO SOUZA,941381.0
202010,BA,2920908,MASCOTE,1296797.0
202010,BA,2921005,MATA DE SAO JOAO,6509331.0
202010,BA,2921054,MATINA,923404.0
202010,BA,2921104,MEDEIROS NETO,2790967.0
202010,BA,2921203,MIGUEL CALMON,2632999.0
202010,BA,2921302,MILAGRES,1216863.0
202010,BA,2921401,MIRANGABA,1759032.0
202010,BA,2921450,MIRANTE,927137.0
202010,BA,2921500,MONTE SANTO,4481013.0
202010,BA,2921609,MORPARA,760739.0
202010,BA,2921708,MORRO DO CHAPEU,3593621.0
202010,BA,2921807,MORTUGABA,1134008.0
202010,BA,2921906,MUCUGE,1181935.0
202010,BA,2922003,MUCURI,4476551.0
202010,BA,2922052,MULUNGU DO MORRO,1260764.0
202010,BA,2922102,MUNDO NOVO,1824696.0
202010,BA,2922201,MUNIZ FERREIRA,895935.0
202010,BA,2922250,MUQUEM DE SAO FRANCISCO,954728.0
202010,BA,2922300,MURITIBA,2767600.0
202010,BA,2922409,MUTUIPE,2359923.0
202010,BA,2922508,NAZARE,2943415.0
202010,BA,2922607,NILO PECANHA,1260322.0
202010,BA,2922656,NORDESTINA,1101628.0
202010,BA,2922706,NOVA CANAA,1622568.0
