,agg,"(1.0,)","(2.0,)","(3.0,)","(4.0,)"
cost_pos_mean,84620.02984545029,86012.52734766959,67381.61519676965,73652.71155041615,118784.32424182772
cost_pos_se,1181.8620657526403,2723.3583859109203,1935.323793889696,1707.6693762604386,3331.304185443138
fincbtxm_mean,82454.630284105,90373.66518711932,77792.11101246574,75634.26616073199,92437.29503775985
fincbtxm_se,1016.3628435985787,2608.102662434678,1994.4370787423618,1596.866513674108,2252.026521661026
fsalarym_mean,64754.006740419376,72186.52893367723,59445.14573311398,59761.47234975303,72450.23585589218
fsalarym_se,874.9482400096646,2312.4567732533255,1676.0220744329972,1373.8373567778392,1917.4469484988856
