"CO_NBM";"CO_NCM"
"2941901899";"29419049"
"2941902001";"29419032"
"2941902301";"29419059"
"2941902302";"29419051"
"2941902900";"29419039"
"2941903202";"29419059"
"2941903701";"29419039"
"2941903900";"29413031"
"2941904100";"29329922"
"2942009900";"29420000"
"4408900202";"44089000"
"1701120100";"17011200"
"1702900300";"17029000"
"1702909900";"17029000"
"1703909999";"17039000"
"1704100000";"17041000"
"1704900100";"17049090"
"1804000000";"18040000"
"1806900700";"18069000"
"1901909900";"19019090"
"1902200102";"19022000"
"1902209900";"19022000"
"1903000100";"19030000"
"2905149900";"29051410"
"5202910000";"52029100"
"5205340000";"52053400"
"5206139900";"52061300"
"2306900401";"23069000"
"2306909900";"23069000"
"2307000000";"23070000"
"2308900100";"23089000"
"2308909900";"23089000"
"2309109900";"23091000"
"2309900601";"23099020"
"2401209902";"24012040"
"2402900301";"24029000"
"2403990100";"24039910"
"2501000102";"25010020"
"2503109900";"25030090"
"2504900000";"25049000"
"2508500000";"25085000"
"2510109900";"25101090"
"2510200000";"25102010"
"2514000000";"25140000"
"2931000401";"29310034"
"2931000699";"29310059"
"2932210100";"29322110"
"2932900603";"29329999"
"2932900605";"29110090"
"2932900803";"29329300"
"2932900900";"29329999"
"2933290200";"29332930"
"2933290902";"29332921"
"2933291002";"29332929"
"2933291100";"29332913"
"2933291400";"29332919"
"2933299900";"29332999"
"2933390400";"29333991"
"2933390900";"29333931"
"2933391801";"29333989"
"2933392000";"29333914"
"2933392200";"29333922"
"2933392300";"29333929"
"3210000101";"32100010"
"3212100100";"32121000"
"3301140000";"33011400"
"3301240000";"33012400"
"3301290900";"33012915"
"3302909900";"33029090"
"3304209900";"33042090"
"3304300100";"33043000"
"3304990300";"33049990"
"3305100100";"33051000"
"2202900899";"22021000"
"2202901102";"22021000"
"2202901201";"22021000"
"2202901299";"22021000"
"2203000100";"22030000"
"2203000501";"22030000"
"2204100100";"22041010"
"2204210403";"22042100"
"2204210404";"22042100"
"2204210503";"22042100"
"2204210601";"22042100"
"2204290102";"22042900"
"2204290105";"22042900"
"2922300400";"29223090"
"2922420100";"29224210"
"2922420200";"29224220"
"2922490399";"29224932"
"2922490600";"29224959"
"2922491002";"29224959"
"2922491200";"29224959"
"2922500900";"29225099"
"2922501500";"29225099"
"2922501700";"29225099"
"2922501800";"29225099"
"2923900500";"29239020"
"2924100400";"29241019"
"2924100500";"29241011"
"2924101000";"29241031"
"2924101300";"29241091"
"2924290100";"29242913"
"2924290400";"29242999"
"2924290801";"29242999"
"2924291701";"29242999"
"2924293900";"29242991"
"3923909901";"39239000"
"3923909902";"39239000"
"3924100200";"39241000"
"3924109900";"39241000"
"3924909900";"39249000"
"4002190201";"40021920"
"4002499900";"40024900"
"4002609900";"40026000"
"4002700100";"40027000"
"4003000000";"40030000"
"4005100000";"40051090"
"4816900000";"48169000"
"4817109900";"48171000"
"4817309900";"48173000"
"4818400100";"48184020"
"4818409900";"48184090"
"4819300199";"48193000"
"4819400101";"48194000"
"4819500100";"48195000"
"4819600000";"48196000"
"4820200101";"48202000"
"4820409900";"48204000"
"4820500000";"48205000"
"4823110000";"48231100"
"4823900800";"48239090"
"2918110300";"29181100"
"2918160100";"29181690"
"2918170100";"29181700"
"2918190300";"29181929"
"2918210200";"29182120"
"2918290302";"29182922"
"2918300600";"29183010"
"2918900800";"29189099"
"2918900900";"29189019"
"2919000400";"29190010"
"2919000700";"29190030"
"2920900101";"29209011"
"2920900201";"29209049"
"2920900605";"29209039"
"2920900700";"29209090"
"2921110400";"29211123"
"2921120000";"29211210"
"2921190201";"29211921"
"3904509900";"39045090"
"3906100100";"39061000"
"3907100201";"39071029"
"3907200100";"39072012"
"3907309900";"39073029"
"3907999900";"39079999"
"3909209900";"39092019"
"3909400100";"39094011"
"3909509900";"39095021"
"3910009900";"39100090"
"3911100100";"39111020"
"3912200100";"39122010"
"3912310100";"39123119"
"3913900499";"39139012"
"3914000100";"39140011"
"3915900100";"39159000"
"0307210000";"03072100"
"0307490100";"03074911"
"0307510000";"03075100"
"0307599900";"03075920"
"0307990101";"03079900"
"0402210101";"04022110"
"0406409900";"04064000"
"0406900600";"04069020"
"0406900900";"04069090"
"0406901400";"04069020"
"0406909900";"04069090"
"0408990101";"04089900"
"0504000200";"05040012"
"0504000400";"05040090"
"0506900400";"05069000"
"1905300600";"19053010"
"1905909999";"19059000"
"2002909901";"20029090"
"2003100100";"20031000"
"2003200100";"20032000"
"2004900205";"20049000"
"2004909900";"20049000"
"2005200100";"20052000"
"2007990103";"20079910"
"2007990301";"20079990"
"3801309900";"38013090"
"3802900103";"38029020"
"3802900199";"38029010"
"3806900101";"38061000"
"3806900300";"38069090"
"3806900500";"38069090"
"3808900199";"38089010"
"3808909902";"38089010"
"3808909999";"38089010"
"3809930200";"38099390"
"3811210401";"38112150"
"3811290000";"38112990"
"0302690200";"03026910"
"0302699900";"03026990"
"0303500000";"03035000"
"0303600000";"03036000"
"0303710000";"03037100"
"0303790200";"03037910"
"0305510000";"03055100"
"0305590100";"03055990"
"0305690399";"03056900"
