RTA Name,Start_Year,End_Implementation_Year_G,Expanded_Signatories
EFTA - Accession of Iceland,2070.0,2071.0,352;438;578;756
EFTA - Albania,2010.0,2011.0,008;352;438;578;756
EFTA - Bosnia and Herzegovina,2015.0,2018.0,070;352;438;578;756
EFTA - Canada,2009.0,2024.0,124;352;438;578;756
EFTA - Central America (Costa Rica and Panama),2014.0,2028.0,188;591;352;438;578;756
EFTA - Chile,2004.0,2010.0,152;352;438;578;756
EFTA - Colombia,2011.0,2030.0,170;352;438;578;756
EFTA - Ecuador,2020.0,2036.0,218;352;438;578;756
EFTA - Egypt,2007.0,2020.0,818;352;438;578;756
EFTA - Georgia,2017.0,2018.0,268;352;438;578;756
EFTA - Gulf Cooperation Council (GCC),2014.0,2019.0,352;438;578;756;682;784;048;414;512;634
"EFTA - Hong Kong, China",2012.0,2012.0,344;352;438;578;756
EFTA - Indonesia,2021.0,2034.0,360;352;438;578;756
EFTA - Israel,1993.0,2003.0,376;352;438;578;756
EFTA - Jordan ,2002.0,2014.0,400;352;438;578;756
"EFTA - Korea, Republic of",2006.0,2016.0,410;352;438;578;756
EFTA - Lebanon,2007.0,2015.0,422;352;438;578;756
EFTA - Mexico,2001.0,2011.0,484;352;438;578;756
EFTA - Montenegro,2012.0,2018.0,499;352;438;578;756
EFTA - Morocco,1999.0,2011.0,504;352;438;578;756
EFTA - North Macedonia,2002.0,2011.0,807;352;438;578;756
EFTA - Palestine,1999.0,2004.0,275;352;438;578;756
EFTA - Peru,2011.0,2027.0,604;352;438;578;756
EFTA - Philippines ,2018.0,2027.0,608;352;438;578;756
EFTA - SACU,2008.0,2015.0,352;438;578;756;072;426;516;710;748
EFTA - Serbia,2010.0,2014.0,688;352;438;578;756
EFTA - Singapore,2003.0,2003.0,702;352;438;578;756
EFTA - Tunisia,2005.0,2008.0,788;352;438;578;756
EFTA - Türkiye,2021.0,2021.0,792;352;438;578;756
EFTA - Ukraine,2012.0,2022.0,804;352;438;578;756
Egypt - Türkiye,2007.0,2020.0,792;818
El Salvador - Cuba,2012.0,2012.0,192;222
El Salvador - Ecuador,2017.0,2021.0,218;222
EU - Albania,2006.0,2019.0,008;196;203;233;348;428;440;470;616;703;705
EU - Algeria,2005.0,2017.0,012;196;203;233;348;428;440;470;616;703;705
EU - Andorra,1991.0,1996.0,020
EU - Armenia,2018.0,2018.0,051;191
EU - Bosnia and Herzegovina,2008.0,2013.0,070;100;642
EU - Cameroon,2014.0,2029.0,120;191
EU - Canada,2017.0,2024.0,124;191
EU - CARIFORUM States,2008.0,2033.0,028;044;052;084;212;214;308;328;332;388;659;662;670;740;780;100;642
EU - Central America,2013.0,2027.0,191;320;222;340;558;188
EU - Chile,2003.0,2013.0,152;056;276;250;380;442;528;208;372;826;300;724;620;040;246;752
EU - Colombia and Peru - Accession of Ecuador,2017.0,2034.0,170;218;604;191
"EU - Colombia, Ecuador and Peru",2013.0,2030.0,170;218;604;191
EU - Côte d'Ivoire,2016.0,2023.0,384;191
EU - Eastern and Southern Africa States,2012.0,2022.0,174;450;480;690;716;100;642
EU - Eastern and Southern Africa States - Accession of Comoros,2019.0,2022.0,174;450;480;690;716;191
EU - Egypt,2004.0,2019.0,818;196;203;233;348;428;440;470;616;703;705
EU - Faeroe Islands,1997.0,1997.0,234;056;276;250;380;442;528;208;372;826;300;724;620;040;246;752
EU - Georgia,2014.0,2014.0,268;191
EU - Ghana,2016.0,2022.0,288;191
EU - Iceland,2073.0,2074.0,352;826
EU - Israel,2000.0,2000.0,376;056;276;250;380;442;528;208;372;826;300;724;620;040;246;752
EU - Japan,2019.0,2038.0,392;191
