Date;Total;Recife;Salvador;Belo Horizonte;Rio de Janeiro;Sao Paulo;Porto Alegre
01/11/2007;18474963102;844148355;1035826679;1774541497;4189345691;9124552601;1506548277
01/12/2007;23457120077;1159377791;1481708740;2435930305;5113840757;11398001932;1868260550
01/01/2008;17254308231;773967184;1029072650;1688988499;3927602713;8350946430;1483730756
01/02/2008;17191591898;750191830;1021254150;1713563896;3934546370;8283859670;1488175983
01/03/2008;17409692727;735378487;996745565;1715245397;4054923118;8416942682;1490457478
01/04/2008;17739131437;756954896;1043232220;1756442046;4143580817;8538956889;1499964569
01/05/2008;17978053706;758034636;1038711757;1760143328;4314598188;8624606510;1481959287
01/06/2008;18131568304;777005725;1092074875;1810448696;4360629875;8595094004;1496315127
01/07/2008;19012501345;801729664;1089197222;1862950896;4738316096;9026513017;1493794448
01/08/2008;19209553863;813774035;1124110111;1908417440;4688162371;9154265578;1520824327
01/09/2008;19501371958;825307905;1143718249;1975592912;4756088545;9199515930;1601148418
01/10/2008;19847332397;828477457;1156875711;1964717142;4767171375;9555254482;1574836231
01/11/2008;21860566740;924264204;1224126962;2082811434;5167810165;10745823010;1715730965
01/12/2008;26730542365;1355699784;1395802276;2643688950;6411551662;12754464112;2169335582
01/01/2009;19866882710;797630214;1143981133;1889508481;4917626411;9523511809;1594624660
01/02/2009;19675260913;790177757;1186922952;1862202334;4804645541;9412754862;1618557467
01/03/2009;19642584318;831743590;1129880720;1857392166;4846500371;9319666209;1657401260
01/04/2009;19809298101;828121080;1162870077;1959278339;4672050191;9558908520;1628069894
01/05/2009;19791002069;838865099;1143969942;1982627703;4676171699;9517250338;1632117287
01/06/2009;20430620196;879068769;1210990391;2035745259;4909971259;9719464059;1675380457
01/07/2009;20565003758;866321771;1267386555;2060619975;5015214188;9685896093;1669565173
01/08/2009;20887518537;915991915;1328071384;2023141752;5030373166;9900210481;1689729838
01/09/2009;20825988373;914983713;1321601042;2063591302;4926140918;9883275638;1716395761
01/10/2009;21196690226;877500914;1256509700;2090247464;5092009673;10172693518;1707728958
01/11/2009;23199044810;927366662;1294332356;2139206954;5401129739;11646781134;1790227966
01/12/2009;28276249351;1431651456;1434394610;2973491952;6978062592;13078660500;2379988243
01/01/2010;22123627554;925116964;1267919882;2097596870;5474833394;10573037214;1785123230
01/02/2010;22154989010;984388433;1281921975;2165726430;5329318965;10615534008;1778099198
01/03/2010;22512397460;977983333;1325732068;2186488502;5575032839;10626705713;1820455007
01/04/2010;22520983008;1031934133;1337922122;2235267271;5518900739;10523392573;1873566171
01/05/2010;22521712314;1081946793;1320540936;2255550223;5537601365;10440611461;1885461537
01/06/2010;23432888084;1095043040;1388051239;2401395979;5741487934;10894279358;1912630533
01/07/2010;23673525561;1116898497;1467620122;2353628804;5716535490;11097866673;1920975976
01/08/2010;24162139216;1158678540;1518361889;2340332766;5994995066;11204533119;1945237836
01/09/2010;24602771118;1217385377;1561343173;2406806906;6148549914;11312280742;1956405008
01/10/2010;24790556152;1220697162;1523766112;2367134613;6257320406;11387490314;2034147545
01/11/2010;26431113799;1265659839;1516490403;2490080693;6645346522;12421572676;2091963667
01/12/2010;32908243998;1624874431;1694973747;3250841173;7808776964;15918859585;2609918098
01/01/2011;24926246380;1129976145;1418847323;2416450393;6227404172;11655021986;2078546360
01/02/2011;25652512544;1196026044;1397333418;2507862743;6315820507;12149015069;2086454761
01/03/2011;25685995440;1129440952;1418970418;2513907205;6340442944;12122096694;2161137228
01/04/2011;25974027434;1159039367;1478502578;2621531259;6548242948;12037806720;2128904562
01/05/2011;26179029023;1187716671;1483136931;2698502432;6257814445;12387960363;2163898183
01/06/2011;26859611374;1204290594;1612351118;2777082185;6459682620;12616775165;2189429691
01/07/2011;26602320522;1218284784;1638460357;2722288109;6524308826;12335255041;2163723405
01/08/2011;26562108975;1138130991;1676408719;2598657185;6496811284;12524154119;2127946677
01/09/2011;26699683097;1218498030;1718311349;2662869621;6572322559;12441168137;2086513401
01/10/2011;27144531050;1219343339;1729120012;2694956716;6664380019;12696055319;2140675645
01/11/2011;30689101400;1241829780;1794439595;2874544671;7137953764;15396912060;2243421528
01/12/2011;36577485662;1677275497;2507960062;3732932039;8729955908;16843421506;3085940649
01/01/2012;28217689344;1246622172;1793718069;2803360654;6839015408;13343206276;2191766766
01/02/2012;28571455897;1249134160;1814218380;2857712364;6905115440;13510287619;2234987934
01/03/2012;28418764187;1258881081;1730110897;2927346921;6877973192;13333255996;2291196102
01/04/2012;28783399230;1342462416;1664137145;2996549087;6928466533;13494219589;2357564460
01/05/2012;29052940896;1350167011;1680403084;3121260940;6955552485;13673553242;2272004135
01/06/2012;29052558152;1335357166;1667010930;3023427628;7052926646;13720430065;2253405715
01/07/2012;29948733620;1381087730;1762201617;3018417704;7425592065;14059483459;2301951045
01/08/2012;30227642954;1353183882;1892152049;3076085279;7513022800;14085018237;2308180706
01/09/2012;30626725410;1414146846;1811819992;3085793164;7628064658;14254645393;2432255359
01/10/2012;31122216614;1466597739;1834032491;3117783492;7757088764;14536195763;2410518365
01/11/2012;34956220480;1495362656;1924672703;3220523416;8455067715;17328851567;2531742421
01/12/2012;42542328779;1821098218;2500172016;4039116331;10117011343;20589701322;3475229550
01/01/2013;31464220847;1448186877;1817541510;3143832656;7709903368;14773064894;2571691541
01/02/2013;31651593919;1483716138;1765559980;3046514950;8013959278;14807886796;2533956777
01/03/2013;31410312653;1523807460;1765126083;3099522904;7895018156;14633190593;2493647458
01/04/2013;31840230958;1427408472;1782781609;3148732889;8096117521;14838885120;2546305348
01/05/2013;31837965685;1448428209;1839851452;3081114400;8110635801;14716911183;2641024640
01/06/2013;31976292045;1400920688;1812276799;3235829952;7880080466;14993124117;2654060025
01/07/2013;32891902790;1424623363;1874214173;3170868943;8321742425;15380803681;2719650206
01/08/2013;33450294636;1495990424;1897721442;3229634636;8513409811;15606960107;2706578216
01/09/2013;33527451435;1507432921;1830486963;3275536527;8337645326;15797924436;2778425263
01/10/2013;34002226151;1557826386;1768511921;3381337138;8653383707;15800553220;2840613777
01/11/2013;36718480379;1662019629;1835020236;3420360174;9130172700;17569108306;3101799334
01/12/2013;43815743185;2341048528;2220912501;3793004644;11079888384;20469016442;3911872686
01/01/2014;34391253972;1688296164;1925721154;3324520458;8736809619;15875784623;2840121953
01/02/2014;34589819920;1749086077;1922734286;3269306532;9089434368;15747006340;2812252315
01/03/2014;34533673193;1778141801;1919131738;3345027988;8999723976;15662871569;2828776120
01/04/2014;35194480855;1771798075;1980767233;3295490478;9602617575;15700630486;2843177011
01/05/2014;34802749882;1768937286;1962757370;3267872672;9376201253;15639627363;2787353936
01/06/2014;35091627507;1771540215;1946581399;3224634260;9514424917;15826426572;2808020143
01/07/2014;35975446562;1802808625;1979240784;3392461434;9467458326;16436198268;2897279126
01/08/2014;36103095567;1813749316;1927939086;3409864568;9318213730;16606039179;3027289691
01/09/2014;36622691234;1843387100;2061258148;3533238036;9417431426;16704696556;3062679969
01/10/2014;37245287708;1850690966;2044120373;3538682976;9481720490;17231305347;3098767556
01/11/2014;41351245400;2068802596;2169198567;3542025894;9834223335;20488115210;3248879797
01/12/2014;46761025308;2672494519;2511645251;3914922291;12100857012;21662536894;3898569342
01/01/2015;36824869095;1869704256;2161267208;3531146772;9537313468;16659596461;3065840929
01/02/2015;36271331798;1914206077;2007083319;3497666676;9558865623;16327012167;2966497934
01/03/2015;36342285358;1821216689;1968598096;3450574702;9515640357;16574857084;3011398429
01/04/2015;36567253396;1848813769;1961668283;3454305666;9595308280;16635990473;3071166925
01/05/2015;36840267022;1874309170;2051455880;3467337001;9943089875;16374379242;3129695854
01/06/2015;37113793495;1871810469;2066781307;3455690180;10012513333;16496870125;3210128079
01/07/2015;36934171568;1833876530;2016982014;3420501144;10161976891;16353696094;3147138897
01/08/2015;37171462507;1833634698;2005453928;3529194698;9896781923;16747221317;3159175945
01/09/2015;36605137032;1801590252;1954675209;3443807196;9610346969;16745292116;3049425288
01/10/2015;37093744501;1850406336;1997574794;3403926335;9628282312;17257735460;2955819265
01/11/2015;42727162919;2141554698;2027517308;3302309852;10156675927;21937649510;3161455626
01/12/2015;47981822502;2830179348;2323492792;4247529975;11659267843;22742659133;4178693411
