uf,ano,pop,evento,total,total_vitima,regiao,total_rate,total_vitima_rate
AC,2021,906876.0,Tentativa de homicídio,0.0,303.0,Norte,0.0,33.411403543593615
AC,2022,898127.6666666666,Tentativa de homicídio,0.0,428.0,Norte,0.0,47.65469497098223
AC,2023,889379.3333333334,Tentativa de homicídio,0.0,347.0,Norte,0.0,39.015972936932044
AC,2024,880631.0,Tentativa de homicídio,0.0,263.0,Norte,0.0,29.864949110353827
AL,2017,3375823.0,Furto de veículo,1201.0,0.0,Nordeste,35.5765097873911,0.0
AL,2018,3322820.0,Furto de veículo,1464.0,0.0,Nordeste,44.0589619660409,0.0
AL,2019,3337357.0,Furto de veículo,1462.0,0.0,Nordeste,43.807120424935064,0.0
AL,2020,3351543.0,Furto de veículo,1640.0,0.0,Nordeste,48.932685631662785,0.0
AL,2021,3365351.0,Furto de veículo,1562.0,0.0,Nordeste,46.41417789704551,0.0
AL,2022,3316935.3333333335,Furto de veículo,2059.0,0.0,Nordeste,62.075373592852685,0.0
AL,2023,3268519.6666666665,Furto de veículo,1785.0,0.0,Nordeste,54.611878833221034,0.0
AL,2024,3220104.0,Furto de veículo,1583.0,0.0,Nordeste,49.159902909968125,0.0
AL,2017,3375823.0,Homicídio doloso,0.0,1672.0,Nordeste,0.0,49.52866308452783
AL,2018,3322820.0,Homicídio doloso,0.0,1333.0,Nordeste,0.0,40.116527527822754
AL,2019,3337357.0,Homicídio doloso,0.0,1025.0,Nordeste,0.0,30.712926426510556
AL,2020,3351543.0,Homicídio doloso,0.0,1185.0,Nordeste,0.0,35.35684906921976
AL,2021,3365351.0,Homicídio doloso,0.0,1020.0,Nordeste,0.0,30.308874170926007
AL,2022,3316935.3333333335,Homicídio doloso,0.0,1076.0,Nordeste,0.0,32.43958328601723
AL,2023,3268519.6666666665,Homicídio doloso,0.0,1096.0,Nordeste,0.0,33.53199955249874
AL,2024,3220104.0,Homicídio doloso,0.0,1023.0,Nordeste,0.0,31.769160250724823
AL,2017,3375823.0,Lesão corporal seguida de morte,0.0,19.0,Nordeste,0.0,0.5628257168696345
AL,2018,3322820.0,Lesão corporal seguida de morte,0.0,10.0,Nordeste,0.0,0.30094919375710993
AL,2019,3337357.0,Lesão corporal seguida de morte,0.0,8.0,Nordeste,0.0,0.23971064528008243
AL,2020,3351543.0,Lesão corporal seguida de morte,0.0,9.0,Nordeste,0.0,0.26853303090546654
AL,2021,3365351.0,Lesão corporal seguida de morte,0.0,4.0,Nordeste,0.0,0.11885833008206277
AL,2022,3316935.3333333335,Lesão corporal seguida de morte,0.0,4.0,Nordeste,0.0,0.12059324641642094
AL,2023,3268519.6666666665,Lesão corporal seguida de morte,0.0,4.0,Nordeste,0.0,0.12237956041057936
AL,2024,3220104.0,Lesão corporal seguida de morte,0.0,6.0,Nordeste,0.0,0.18632938563474968
AL,2017,3375823.0,Roubo a instituição financeira,21.0,0.0,Nordeste,0.6220705291717012,0.0
AL,2018,3322820.0,Roubo a instituição financeira,22.0,0.0,Nordeste,0.6620882262656418,0.0
AL,2019,3337357.0,Roubo a instituição financeira,4.0,0.0,Nordeste,0.11985532264004121,0.0
AL,2020,3351543.0,Roubo a instituição financeira,0.0,0.0,Nordeste,0.0,0.0
AL,2021,3365351.0,Roubo a instituição financeira,1.0,0.0,Nordeste,0.029714582520515693,0.0
AL,2022,3316935.3333333335,Roubo a instituição financeira,0.0,0.0,Nordeste,0.0,0.0
AL,2023,3268519.6666666665,Roubo a instituição financeira,0.0,0.0,Nordeste,0.0,0.0
AL,2024,3220104.0,Roubo a instituição financeira,0.0,0.0,Nordeste,0.0,0.0
AL,2017,3375823.0,Roubo de carga,77.0,0.0,Nordeste,2.2809252736295713,0.0
AL,2018,3322820.0,Roubo de carga,84.0,0.0,Nordeste,2.5279732275597233,0.0
AL,2019,3337357.0,Roubo de carga,39.0,0.0,Nordeste,1.1685893957404017,0.0
AL,2020,3351543.0,Roubo de carga,19.0,0.0,Nordeste,0.5669030652448738,0.0
AL,2021,3365351.0,Roubo de carga,15.0,0.0,Nordeste,0.44571873780773535,0.0
AL,2022,3316935.3333333335,Roubo de carga,26.0,0.0,Nordeste,0.7838561017067361,0.0
AL,2023,3268519.6666666665,Roubo de carga,17.0,0.0,Nordeste,0.5201131317449622,0.0
AL,2024,3220104.0,Roubo de carga,22.0,0.0,Nordeste,0.6832077473274155,0.0
AL,2017,3375823.0,Roubo de veículo,3134.0,0.0,Nordeste,92.83662087733865,0.0
AL,2018,3322820.0,Roubo de veículo,3480.0,0.0,Nordeste,104.73031942747427,0.0
AL,2019,3337357.0,Roubo de veículo,2435.0,0.0,Nordeste,72.96192765712509,0.0
AL,2020,3351543.0,Roubo de veículo,1526.0,0.0,Nordeste,45.53126724019355,0.0
AL,2021,3365351.0,Roubo de veículo,1599.0,0.0,Nordeste,47.51361745030459,0.0
AL,2022,3316935.3333333335,Roubo de veículo,1714.0,0.0,Nordeste,51.67420608943637,0.0
AL,2023,3268519.6666666665,Roubo de veículo,1683.0,0.0,Nordeste,51.49120004275126,0.0
AL,2024,3220104.0,Roubo de veículo,1578.0,0.0,Nordeste,49.00462842193917,0.0
AL,2017,3375823.0,Roubo seguido de morte (latrocínio),0.0,59.0,Nordeste,0.0,1.7477219629109702
AL,2018,3322820.0,Roubo seguido de morte (latrocínio),0.0,46.0,Nordeste,0.0,1.3843662912827057
AL,2019,3337357.0,Roubo seguido de morte (latrocínio),0.0,20.0,Nordeste,0.0,0.599276613200206
AL,2020,3351543.0,Roubo seguido de morte (latrocínio),0.0,23.0,Nordeste,0.0,0.6862510789806366
AL,2021,3365351.0,Roubo seguido de morte (latrocínio),0.0,24.0,Nordeste,0.0,0.7131499804923765
AL,2022,3316935.3333333335,Roubo seguido de morte (latrocínio),0.0,25.0,Nordeste,0.0,0.7537077901026309
AL,2023,3268519.6666666665,Roubo seguido de morte (latrocínio),0.0,17.0,Nordeste,0.0,0.5201131317449622
AL,2024,3220104.0,Roubo seguido de morte (latrocínio),0.0,4.0,Nordeste,0.0,0.12421959042316645
AL,2017,3375823.0,Tentativa de homicídio,0.0,686.0,Nordeste,0.0,20.320970619608907
AL,2018,3322820.0,Tentativa de homicídio,0.0,587.0,Nordeste,0.0,17.665717673542353
AL,2019,3337357.0,Tentativa de homicídio,0.0,530.0,Nordeste,0.0,15.88083024980546
