,CZ,agi,returns,bracket_min,bracket_max,year,state,agi_sum,returns_sum
0,100.0,2358987.0,190216.0,1,24999,2009,VA,16410575.0,395716.00634765625
1,100.0,3592661.0,99990.0,25000,49999,2009,VA,16410575.0,395716.00634765625
2,100.0,3224642.0,52649.0,50000,74999,2009,VA,16410575.0,395716.00634765625
3,100.0,2257498.0,26238.0,75000,99999,2009,VA,16410575.0,395716.00634765625
4,100.0,2870506.0,21489.001953125,100000,199999,2009,VA,16410575.0,395716.00634765625
5,100.0,2106281.0,5134.00439453125,200000,10000000000000000,2009,VA,16410575.0,395716.00634765625
6,200.0,1305710.0,103397.0,1,24999,2009,TN,7410638.0,200828.00170898438
7,200.0,1830845.0,51295.0,25000,49999,2009,TN,7410638.0,200828.00170898438
8,200.0,1499076.0,24540.0,50000,74999,2009,TN,7410638.0,200828.00170898438
9,200.0,1005865.0,11699.0,75000,99999,2009,TN,7410638.0,200828.00170898438
10,200.0,1112232.0,8363.0,100000,199999,2009,TN,7410638.0,200828.00170898438
11,200.0,656910.0,1534.001708984375,200000,10000000000000000,2009,TN,7410638.0,200828.00170898438
12,301.0,213653.0,17347.0,1,24999,2009,TN,1098237.0,32316.003173828125
13,301.0,290819.0,8159.0,25000,49999,2009,TN,1098237.0,32316.003173828125
14,301.0,251005.0,4056.0,50000,74999,2009,TN,1098237.0,32316.003173828125
15,301.0,131593.0,1544.0009765625,75000,99999,2009,TN,1098237.0,32316.003173828125
16,301.0,145404.0,1042.0010986328125,100000,199999,2009,TN,1098237.0,32316.003173828125
17,301.0,65763.0,168.0010986328125,200000,10000000000000000,2009,TN,1098237.0,32316.003173828125
18,302.0,2895788.0,235171.0,1,24999,2009,TN,28020067.0,552566.0029296875
19,302.0,4806021.0,133294.0,25000,49999,2009,TN,28020067.0,552566.0029296875
20,302.0,4737697.0,76982.0,50000,74999,2009,TN,28020067.0,552566.0029296875
21,302.0,4040961.0,46795.0,75000,99999,2009,TN,28020067.0,552566.0029296875
22,302.0,6487165.0,48755.0,100000,199999,2009,TN,28020067.0,552566.0029296875
23,302.0,5052435.0,11569.0029296875,200000,10000000000000000,2009,TN,28020067.0,552566.0029296875
24,401.0,1874816.0,149145.0,1,24999,2009,NC,16946471.0,351849.001953125
25,401.0,3216745.0,89834.0,25000,49999,2009,NC,16946471.0,351849.001953125
26,401.0,3041808.0,49455.0,50000,74999,2009,NC,16946471.0,351849.001953125
27,401.0,2528927.0,29304.0,75000,99999,2009,NC,16946471.0,351849.001953125
28,401.0,3675107.0,27830.0,100000,199999,2009,NC,16946471.0,351849.001953125
29,401.0,2609068.0,6281.001953125,200000,10000000000000000,2009,NC,16946471.0,351849.001953125
30,402.0,147999.0,11592.0,1,24999,2009,VA,841584.001953125,23218.001525878906
31,402.0,216311.0,6081.0,25000,49999,2009,VA,841584.001953125,23218.001525878906
32,402.0,197922.0,3220.0,50000,74999,2009,VA,841584.001953125,23218.001525878906
33,402.0,121378.0,1402.000244140625,75000,99999,2009,VA,841584.001953125,23218.001525878906
34,402.0,126244.0,837.0001831054688,100000,199999,2009,VA,841584.001953125,23218.001525878906
35,402.0,31730.001953125,86.0010986328125,200000,10000000000000000,2009,VA,841584.001953125,23218.001525878906
36,500.0,4425493.0,348848.0,1,24999,2009,NC,36283874.0,791718.0029296875
