,CZ,agi,returns,bracket_min,bracket_max,year,state,agi_sum,returns_sum
69,900.0,8941071.0,145254.0,75000,99999,2006,NC,45530653.0,1049381.0
70,900.0,7935405.0,91309.0,100000,199999,2006,NC,45530653.0,1049381.0
71,900.0,13861623.0,103807.0,200000,10000000000000000,2006,NC,45530653.0,1049381.0
72,1001.0,36886.0,16007.0,1,24999,2006,NC,2530080.0,72440.0
73,1001.0,349354.0,20210.0,25000,49999,2006,NC,2530080.0,72440.0
74,1001.0,657645.0,18442.0,50000,74999,2006,NC,2530080.0,72440.0
75,1001.0,575768.0,9417.0,75000,99999,2006,NC,2530080.0,72440.0
76,1001.0,379186.0,4403.0,100000,199999,2006,NC,2530080.0,72440.0
77,1001.0,531241.0,3961.0,200000,10000000000000000,2006,NC,2530080.0,72440.0
78,1002.0,95717.0,37740.0,1,24999,2006,NC,6618778.0,191184.0
79,1002.0,944818.0,54195.0,25000,49999,2006,NC,6618778.0,191184.0
80,1002.0,1893973.0,53276.0,50000,74999,2006,NC,6618778.0,191184.0
81,1002.0,1579534.0,25880.0,75000,99999,2006,NC,6618778.0,191184.0
82,1002.0,1010206.0,11793.0,100000,199999,2006,NC,6618778.0,191184.0
83,1002.0,1094530.0,8300.0,200000,10000000000000000,2006,NC,6618778.0,191184.0
84,1100.0,137316.0,65096.0,1,24999,2006,NC,13623892.0,350600.0
85,1100.0,1600717.0,91548.0,25000,49999,2006,NC,13623892.0,350600.0
86,1100.0,3342328.0,93394.0,50000,74999,2006,NC,13623892.0,350600.0
87,1100.0,3071494.0,50045.0,75000,99999,2006,NC,13623892.0,350600.0
88,1100.0,2271802.0,26426.0,100000,199999,2006,NC,13623892.0,350600.0
89,1100.0,3200235.0,24091.0,200000,10000000000000000,2006,NC,13623892.0,350600.0
90,1201.0,18419.0,7444.0,1,24999,2006,NC,1280425.0,35811.0
91,1201.0,171102.0,9894.0,25000,49999,2006,NC,1280425.0,35811.0
92,1201.0,336891.0,9438.0,50000,74999,2006,NC,1280425.0,35811.0
93,1201.0,291471.0,4756.0,75000,99999,2006,NC,1280425.0,35811.0
94,1201.0,202043.0,2329.0,100000,199999,2006,NC,1280425.0,35811.0
95,1201.0,260499.0,1950.0,200000,10000000000000000,2006,NC,1280425.0,35811.0
96,1202.0,28442.0,7895.0,1,24999,2006,NC,1315311.0,38266.0
97,1202.0,191685.0,11181.0,25000,49999,2006,NC,1315311.0,38266.0
98,1202.0,370003.0,10347.0,50000,74999,2006,NC,1315311.0,38266.0
99,1202.0,301640.0,4923.0,75000,99999,2006,NC,1315311.0,38266.0
100,1202.0,186589.0,2153.0,100000,199999,2006,NC,1315311.0,38266.0
101,1202.0,236952.0,1767.0,200000,10000000000000000,2006,NC,1315311.0,38266.0
102,1203.0,195411.0,66856.0,1,24999,2006,NC,13156804.0,345136.0
103,1203.0,1561363.0,90309.0,25000,49999,2006,NC,13156804.0,345136.0
104,1203.0,3276461.0,91157.0,50000,74999,2006,NC,13156804.0,345136.0
105,1203.0,3022163.0,49198.0,75000,99999,2006,NC,13156804.0,345136.0
106,1203.0,2202281.0,25643.0,100000,199999,2006,NC,13156804.0,345136.0
107,1203.0,2899125.0,21973.0,200000,10000000000000000,2006,NC,13156804.0,345136.0
108,1204.0,21445.0,11339.0,1,24999,2006,NC,1833635.0,52592.0
109,1204.0,253361.0,14844.0,25000,49999,2006,NC,1833635.0,52592.0
110,1204.0,479298.0,13414.0,50000,74999,2006,NC,1833635.0,52592.0
111,1204.0,418371.0,6840.0,75000,99999,2006,NC,1833635.0,52592.0
112,1204.0,283938.0,3305.0,100000,199999,2006,NC,1833635.0,52592.0
113,1204.0,377222.0,2850.0,200000,10000000000000000,2006,NC,1833635.0,52592.0
114,1301.0,53600.0,13610.0,1,24999,2006,SC,2001635.0,62861.0
115,1301.0,354409.0,20559.0,25000,49999,2006,SC,2001635.0,62861.0
116,1301.0,566051.0,16054.0,50000,74999,2006,SC,2001635.0,62861.0
117,1301.0,420261.0,6850.0,75000,99999,2006,SC,2001635.0,62861.0
118,1301.0,290985.0,3378.0,100000,199999,2006,SC,2001635.0,62861.0
119,1301.0,316329.0,2410.0,200000,10000000000000000,2006,SC,2001635.0,62861.0
120,1302.0,228166.0,79430.0,1,24999,2006,SC,12232824.0,364286.0
121,1302.0,1949586.0,114517.0,25000,49999,2006,SC,12232824.0,364286.0
122,1302.0,3147429.0,88998.0,50000,74999,2006,SC,12232824.0,364286.0
123,1302.0,2465173.0,40196.0,75000,99999,2006,SC,12232824.0,364286.0
124,1302.0,1873237.0,21744.0,100000,199999,2006,SC,12232824.0,364286.0
125,1302.0,2569233.0,19401.0,200000,10000000000000000,2006,SC,12232824.0,364286.0
126,1400.0,319007.0,80043.0,1,24999,2006,NC,13903534.0,406617.0
127,1400.0,2219632.0,128575.0,25000,49999,2006,NC,13903534.0,406617.0
128,1400.0,3747280.0,105812.0,50000,74999,2006,NC,13903534.0,406617.0
129,1400.0,2944520.0,48042.0,75000,99999,2006,NC,13903534.0,406617.0
130,1400.0,2122837.0,24654.0,100000,199999,2006,NC,13903534.0,406617.0
131,1400.0,2550258.0,19491.0,200000,10000000000000000,2006,NC,13903534.0,406617.0
132,1500.0,112869.0,51467.0,1,24999,2006,NC,9883535.0,260570.0
133,1500.0,1245990.0,72408.0,25000,49999,2006,NC,9883535.0,260570.0
134,1500.0,2315492.0,65067.0,50000,74999,2006,NC,9883535.0,260570.0
135,1500.0,2062420.0,33574.0,75000,99999,2006,NC,9883535.0,260570.0
136,1500.0,1673419.0,19404.0,100000,199999,2006,NC,9883535.0,260570.0
137,1500.0,2473345.0,18650.0,200000,10000000000000000,2006,NC,9883535.0,260570.0
138,1600.0,140757.0,36702.0,1,24999,2006,NC,6874852.0,191059.0
139,1600.0,992867.0,57851.0,25000,49999,2006,NC,6874852.0,191059.0
140,1600.0,1725306.0,48839.0,50000,74999,2006,NC,6874852.0,191059.0
141,1600.0,1442769.0,23504.0,75000,99999,2006,NC,6874852.0,191059.0
142,1600.0,1124556.0,13058.0,100000,199999,2006,NC,6874852.0,191059.0
143,1600.0,1448597.0,11105.0,200000,10000000000000000,2006,NC,6874852.0,191059.0
144,1701.0,615790.0,220580.0,1,24999,2006,NC,61136280.0,1314430.0
145,1701.0,5022429.0,287281.0,25000,49999,2006,NC,61136280.0,1314430.0
146,1701.0,12094995.0,335918.0,50000,74999,2006,NC,61136280.0,1314430.0
147,1701.0,11571764.0,187487.0,75000,99999,2006,NC,61136280.0,1314430.0
148,1701.0,11061991.0,127717.0,100000,199999,2006,NC,61136280.0,1314430.0
149,1701.0,20769311.0,155447.0,200000,10000000000000000,2006,NC,61136280.0,1314430.0
150,1702.0,37340.0,10077.0,1,24999,2006,NC,1715865.0,52377.0
151,1702.0,304888.0,17380.0,25000,49999,2006,NC,1715865.0,52377.0
152,1702.0,495227.0,14140.0,50000,74999,2006,NC,1715865.0,52377.0
153,1702.0,352446.0,5753.0,75000,99999,2006,NC,1715865.0,52377.0
154,1702.0,253530.0,2944.0,100000,199999,2006,NC,1715865.0,52377.0
155,1702.0,272434.0,2083.0,200000,10000000000000000,2006,NC,1715865.0,52377.0
156,1800.0,103658.0,31223.0,1,24999,2006,NC,5398057.0,160768.0
157,1800.0,883746.0,50777.0,25000,49999,2006,NC,5398057.0,160768.0
158,1800.0,1513320.0,42995.0,50000,74999,2006,NC,5398057.0,160768.0
159,1800.0,1199233.0,19578.0,75000,99999,2006,NC,5398057.0,160768.0
160,1800.0,816259.0,9529.0,100000,199999,2006,NC,5398057.0,160768.0
161,1800.0,881841.0,6666.0,200000,10000000000000000,2006,NC,5398057.0,160768.0
