year,code,country_wb,country_efw,sizeofgovernment,legalsystem,soundmoney,freetrade,regulation,index,gdppercapita,advanced
2001,754,Zambia,Zambia,6.3789468,5.854907,7.3863287,8.7611847,5.3670025,6.75,574.43811,0
2002,754,Zambia,Zambia,6.2529793,5.4000001,7.1813464,8.8085928,6.2635751,6.7800002,578.78864,0
2003,754,Zambia,Zambia,6.6169119,5.4570279,7.2559237,8.7812567,6.9730306,7.0191717,593.43689,0
2004,754,Zambia,Zambia,6.8477941,5.4618258,7.715661,8.3540878,6.9750857,7.0822182,609.82355,0
2005,754,Zambia,Zambia,7.5602942,5.6916399,8.1102819,8.0895748,7.2604609,7.3667717,625.85376,0
2006,754,Zambia,Zambia,8.3440819,5.8338819,8.574317,8.2323217,7.5547352,7.7426271,647.36169,0
2007,754,Zambia,Zambia,8.3657112,6.284801,8.5024281,8.3852911,7.5648122,7.8500147,668.64191,0
2008,754,Zambia,Zambia,8.3301468,6.3060508,8.3676338,8.0188427,7.5896993,7.7641048,689.33496,0
2009,754,Zambia,Zambia,8.143857,6.2951941,8.5468817,8.2410126,7.5135822,7.7855821,709.99872,0
2010,754,Zambia,Zambia,7.9923625,6.1833153,8.8651056,8.2814102,7.3891463,7.7748437,741.44208,0
2011,754,Zambia,Zambia,6.8970585,6.4042835,8.9490595,8.2201319,7.288239,7.5662055,767.91132,0
2012,754,Zambia,Zambia,6.9338236,6.2791595,8.970561,8.2537575,7.4172626,7.5874891,798.26025,0
2000,819,Fiji,Fiji,6.5571003,5.9879656,6.9041677,5.5577779,6.206635,6.2399998,3285.999,0
2001,819,Fiji,Fiji,6.3328452,5.9879656,6.6560664,5.5577779,6.0808172,6.1199999,3339.1589,0
2002,819,Fiji,Fiji,6.0938654,5.9879656,6.815866,5.7634268,6.206635,6.1702461,3439.5229,0
2003,819,Fiji,Fiji,6.1100416,5.9261999,6.6942201,5.7634268,6.206635,6.1415029,3469.7227,0
2004,819,Fiji,Fiji,6.6684403,5.9261999,6.4754224,5.8235021,5.8601146,6.1320834,3645.7173,0
2005,819,Fiji,Fiji,8.015521,6.0450959,6.5639,5.3902326,6.6683311,6.5396538,3655.6638,0
2006,819,Fiji,Fiji,7.4863677,5.925941,6.5621438,5.3901639,6.9369221,6.4858298,3698.3118,0
2007,819,Fiji,Fiji,8.0451918,5.8782787,6.228271,5.3983068,6.8107743,6.4948006,3634.6689,0
2008,819,Fiji,Fiji,8.2378387,5.7114615,6.4162054,5.3698058,6.8845882,6.5396538,3635.3965,0
2009,819,Fiji,Fiji,7.5018091,5.4969826,6.7576475,5.4125838,6.8151641,6.4230347,3552.8149,0
2010,819,Fiji,Fiji,7.5062208,5.4969826,6.6667614,5.4139409,6.7161369,6.378181,3513.0703,0
2011,819,Fiji,Fiji,7.8797746,5.4924784,6.4656076,5.3352242,6.9573503,6.4558759,3553.6606,0
2012,819,Fiji,Fiji,7.3088217,5.5977354,6.4224091,5.4270678,6.952497,6.3834395,3601.8572,0
2000,853,Pap. New Guinea,Pap. New Guinea,6.1803203,4.4635658,6.274344,5.4467406,6.8038774,5.8299999,840.4903,0
2001,853,Pap. New Guinea,Pap. New Guinea,6.3052082,4.4635658,6.4108462,5.0170369,6.8202419,5.8000002,818.21472,0
2002,853,Pap. New Guinea,Pap. New Guinea,6.7052975,3.9080091,6.1588111,5.3281479,6.5879769,5.7399998,796.52216,0
2003,853,Pap. New Guinea,Pap. New Guinea,6.2985177,4.1283202,6.0981145,5.3281479,6.5879769,5.6914382,793.70282,0
2004,853,Pap. New Guinea,Pap. New Guinea,6.3561964,4.1283202,6.313385,5.3259254,6.5879769,5.7489276,795.40527,0
2005,853,Pap. New Guinea,Pap. New Guinea,6.7491417,4.2615132,7.079772,5.3666382,7.2730746,6.159565,804.07111,0
2006,853,Pap. New Guinea,Pap. New Guinea,6.7996016,4.1197333,7.0684915,5.3758574,7.2754946,6.1405544,805.06396,0
2007,853,Pap. New Guinea,Pap. New Guinea,6.5373492,4.8083777,7.0694013,6.3043528,7.2929039,6.4162135,842.54749,0
2008,853,Pap. New Guinea,Pap. New Guinea,7.1422544,4.767869,6.6522713,6.4592957,7.2980857,6.4827523,877.96661,0
2009,853,Pap. New Guinea,Pap. New Guinea,7.2284594,4.7476149,7.0357966,6.4107418,7.1852579,6.5302796,904.98669,0
2010,853,Papua New Guinea,Pap. New Guinea,7.34446,4.767869,7.2720394,6.5267186,7.1141768,6.6063237,955.42444,0
2011,853,Papua New Guinea,Pap. New Guinea,7.4922543,4.767869,7.253891,6.4771647,6.8486438,6.5403161,1018.5392,0
2012,853,Papua New Guinea,Pap. New Guinea,7.7422543,4.7942533,7.5561309,6.4771647,6.9329782,6.671874,1076.3807,0
2000,911,Armenia,Armenia,,,,,,,895.59772,0
2001,911,Armenia,Armenia,,,,,,,986.36151,0
2002,911,Armenia,Armenia,,,,,,,1121.174,0
2003,911,Armenia,Armenia,,,,,,,1283.2156,0
2004,911,Armenia,Armenia,,,,,,,1422.4036,0
2005,911,Armenia,Armenia,,,,,,,1625.3969,0
2006,911,Armenia,Armenia,,,,,,,1847.2731,0
2007,911,Armenia,Armenia,,,,,,,2110.415,0
2008,911,Armenia,Armenia,,,,,,,2265.4246,0
2009,911,Armenia,Armenia,,,,,,,1950.9833,0
2010,911,Armenia,Armenia,,,,,,,1995.0138,0
2011,911,Armenia,Armenia,,,,,,,2089.1428,0
2012,911,Armenia,Armenia,,,,,,,2234.6592,0
2000,912,Azerbaijan,Azerbaijan,,,,,,,874.09607,0
2001,912,Azerbaijan,Azerbaijan,,,,,,,953.21771,0
2002,912,Azerbaijan,Azerbaijan,,,,,,,1046.4215,0
2003,912,Azerbaijan,Azerbaijan,,,,,,,1154.8378,0
2004,912,Azerbaijan,Azerbaijan,,,,,,,1261.5389,0
2005,912,Azerbaijan,Azerbaijan,,,,,,,1578.3673,0
2006,912,Azerbaijan,Azerbaijan,,,,,,,2099.7097,0
2007,912,Azerbaijan,Azerbaijan,,,,,,,2596.063,0
2008,912,Azerbaijan,Azerbaijan,,,,,,,2816.6665,0
2009,912,Azerbaijan,Azerbaijan,,,,,,,3015.3589,0
2010,912,Azerbaijan,Azerbaijan,,,,,,,3128.6797,0
2011,912,Azerbaijan,Azerbaijan,,,,,,,3119.0593,0
2012,912,Azerbaijan,Azerbaijan,,,,,,,3214.335,0
2000,914,Albania,Albania,7.6327176,4.7699933,7.3962836,5.8839316,5.4708581,6.23,1949.2815,0
2001,914,Albania,Albania,7.6356587,4.7699933,7.0637851,6.0728202,5.8483105,6.2800002,2097.7046,0
2002,914,Albania,Albania,8.3302984,5.3255486,7.0231075,6.1949286,6.3223972,6.6399999,2173.4114,0
2003,914,Albania,Albania,8.5824852,5.2837563,9.8067417,6.2060394,5.8366776,7.1296754,2314.4658,0
2004,914,Albania,Albania,7.8388896,4.9755974,9.6627369,6.2252989,5.9552851,6.9174252,2468.6904,0
2005,914,Albania,Albania,8.886323,5.2197623,9.6401243,6.286387,5.6932812,7.124948,2620.8208,0
2006,914,Albania,Albania,8.8984423,5.3348818,9.5726223,6.6941857,6.115726,7.3086863,2766.1917,0
2007,914,Albania,Albania,9.7187443,5.5143585,9.4244556,6.7406006,6.0091748,7.4515934,2941.7493,0
2008,914,Albania,Albania,9.1058054,5.8868456,9.3953409,6.807301,6.1429944,7.4413857,3177.9133,0
2009,914,Albania,Albania,8.5477324,6.1434245,9.6330214,7.1965032,5.9353809,7.4720087,3288.4341,0
2010,914,Albania,Albania,8.8916082,5.8242598,9.7250223,7.1998687,5.8793359,7.4822164,3404.655,0
2011,914,Albania,Albania,8.8503323,5.4020777,9.77526,7.0727181,5.8606286,7.3803902,3502.6362,0
2012,914,Albania,Albania,9.2714806,4.9550624,9.7107401,6.9830256,5.7999153,7.32935,3521.5015,0
2000,915,Georgia,Georgia,,,,,,,1018.7594,0
2001,915,Georgia,Georgia,,,,,,,1075.4803,0
2002,915,Georgia,Georgia,,,,,,,1142.0046,0
2003,915,Georgia,Georgia,,,,,,,1276.5215,0
2004,915,Georgia,Georgia,,,,,,,1354.6085,0
2005,915,Georgia,Georgia,,,,,,,1469.9746,0
2006,915,Georgia,Georgia,,,,,,,1594.5255,0
2007,915,Georgia,Georgia,,,,,,,1795.2725,0
2008,915,Georgia,Georgia,,,,,,,1838.7433,0
2009,915,Georgia,Georgia,,,,,,,1758.446,0
2010,915,Georgia,Georgia,,,,,,,1850.8208,0
2011,915,Georgia,Georgia,,,,,,,1966.0071,0
2012,915,Georgia,Georgia,,,,,,,2070.8499,0
2000,916,Kazakhstan,Kazakhstan,,,,,,,2343.5371,0
2001,916,Kazakhstan,Kazakhstan,,,,,,,2664.4421,0
2002,916,Kazakhstan,Kazakhstan,,,,,,,2925.4368,0
2003,916,Kazakhstan,Kazakhstan,,,,,,,3186.7637,0
2004,916,Kazakhstan,Kazakhstan,,,,,,,3468.5061,0
2005,916,Kazakhstan,Kazakhstan,,,,,,,3771.2791,0
2006,916,Kazakhstan,Kazakhstan,,,,,,,4130.8828,0
2007,916,Kazakhstan,Kazakhstan,,,,,,,4447.3682,0
2008,916,Kazakhstan,Kazakhstan,,,,,,,4538.4976,0
2009,916,Kazakhstan,Kazakhstan,,,,,,,4473.2427,0
2010,916,Kazakhstan,Kazakhstan,,,,,,,4732.2158,0
2011,916,Kazakhstan,Kazakhstan,,,,,,,5014.8164,0
2012,916,Kazakhstan,Kazakhstan,,,,,,,5190.7051,0
2000,917,Kyrgyz Republic,Kyrgyz Republic,,,,,,,417.04272,0
2001,917,Kyrgyz Republic,Kyrgyz Republic,,,,,,,435.08798,0
2002,917,Kyrgyz Republic,Kyrgyz Republic,,,,,,,431.03778,0
2003,917,Kyrgyz Republic,Kyrgyz Republic,,,,,,,456.52936,0
2004,917,Kyrgyz Republic,Kyrgyz Republic,,,,,,,482.73199,0
2005,917,Kyrgyz Republic,Kyrgyz Republic,,,,,,,476.4801,0
2006,917,Kyrgyz Republic,Kyrgyz Republic,,,,,,,486.01172,0
2007,917,Kyrgyz Republic,Kyrgyz Republic,,,,,,,522.52454,0
2008,917,Kyrgyz Republic,Kyrgyz Republic,,,,,,,561.06824,0
2009,917,Kyrgyz Republic,Kyrgyz Republic,,,,,,,570.33514,0
2010,917,Kyrgyz Republic,Kyrgyz Republic,,,,,,,560.91461,0
2011,917,Kyrgyz Republic,Kyrgyz Republic,,,,,,,587.1358,0
2012,917,Kyrgyz Republic,Kyrgyz Republic,,,,,,,574.8175,0
2000,918,Bulgaria,Bulgaria,4.5100946,5.4069338,3.2341871,7.3285313,6.3698225,5.3699999,2706.5737,0
2001,918,Bulgaria,Bulgaria,5.0946584,4.8472729,6.3167782,7.1248803,6.0074472,5.8800001,2872.957,0
2002,918,Bulgaria,Bulgaria,5.8148861,4.6666665,8.1750755,6.7366824,6.8561959,6.4499998,3066.022,0
2003,918,Bulgaria,Bulgaria,5.439363,4.6943445,8.963829,7.3275208,7.0157361,6.6885209,3253.2217,0
2004,918,Bulgaria,Bulgaria,5.7429562,4.6131516,8.7016573,7.2780442,6.8418102,6.6299353,3490.1003,0
2005,918,Bulgaria,Bulgaria,6.3013396,4.8435102,8.8911905,7.0949612,7.1487217,6.8545132,3733.2632,0
2006,918,Bulgaria,Bulgaria,6.4489841,5.0940609,8.7607498,7.4826746,7.2290468,7.0024524,3997.0366,0
2007,918,Bulgaria,Bulgaria,7.209353,4.9102163,8.6206131,7.647141,7.5239439,7.1799793,4274.6426,0
2008,918,Bulgaria,Bulgaria,6.9068961,4.8391972,8.7372456,7.5480208,7.4817433,7.1010785,4561.3276,0
2009,918,Bulgaria,Bulgaria,6.7303267,4.8611174,9.4430532,7.554234,7.6307878,7.2391548,4332.1992,0
2010,918,Bulgaria,Bulgaria,6.4581842,4.8483815,9.5103407,7.8022885,7.5693121,7.2391548,4378.8789,0
2011,918,Bulgaria,Bulgaria,7.1417894,4.8864012,9.3150434,7.4548602,7.6247663,7.2786055,4570.5078,0
2012,918,Bulgaria,Bulgaria,6.9850154,4.8407731,9.4683409,7.4333539,7.7203698,7.2884679,4634.6313,0
2000,921,Moldova,Moldova,,,,,,,583.18054,0
2001,921,Moldova,Moldova,,,,,,,620.13947,0
2002,921,Moldova,Moldova,,,,,,,670.06049,0
2003,921,Moldova,Moldova,,,,,,,716.29907,0
2004,921,Moldova,Moldova,,,,,,,771.28473,0
2005,921,Moldova,Moldova,,,,,,,831.16028,0
2006,921,Moldova,Moldova,,,,,,,873.27533,0
2007,921,Moldova,Moldova,,,,,,,902.23499,0
2008,921,Moldova,Moldova,,,,,,,974.14325,0
2009,921,Moldova,Moldova,,,,,,,916.953,0
2010,921,Moldova,Moldova,,,,,,,982.97852,0
2011,921,Moldova,Moldova,,,,,,,1046.4006,0
2012,921,Moldova,Moldova,,,,,,,1038.3965,0
2000,922,Russia,Russia,6.7685981,4.4468751,3.6598766,6.2276301,4.6448073,5.1500001,3878.0959,0
2001,922,Russia,Russia,7.0256591,3.8401918,3.8263946,6.3853903,4.601922,5.1399999,4085.4373,0
2002,922,Russia,Russia,6.9794989,4.43332,4.0768638,6.6359615,5.9965553,5.6199999,4298.377,0
2003,922,Russia,Russia,6.9068274,4.6074724,4.2859864,6.7316875,6.12254,5.7273264,4634.3145,0
2004,922,Russia,Russia,7.1453805,4.3476548,6.011601,6.3804975,5.8025455,5.9089947,4992.7622,0
2005,922,Russia,Russia,7.2361064,4.5110373,6.6873822,5.985693,6.1328297,6.0811009,5337.0654,0
2006,922,Russia,Russia,7.1388721,4.6192517,6.9445047,5.8325787,6.0625253,6.090723,5798.5488,0
2007,922,Russia,Russia,6.6550794,4.698782,8.3360395,5.8124614,6.0297155,6.273541,6311.1753,0
2008,922,Russia,Russia,7.1479521,4.6549368,8.4323769,5.6644182,5.8584871,6.3122668,6649.4019,0
2009,922,Russia,Russia,6.6625171,4.549325,8.2957096,5.7410769,6.1323781,6.2348156,6131.0874,0
2010,922,Russian Federation,Russia,6.7539849,4.4256778,8.4665394,5.9481244,6.0675282,6.2832227,6385.6606,0
2011,922,Russian Federation,Russia,6.7775846,4.4975643,8.5492926,6.1131754,6.1535296,6.3803525,6633.0698,0
2012,922,Russian Federation,Russia,6.5045538,4.4303017,8.6298075,6.2822833,6.6154952,6.4482288,6834,0
2000,924,China,China,3.4256454,4.9483428,8.1203985,6.4563537,5.7925639,5.75,1122.285,0
2001,924,China,China,3.3319836,5.1438012,8.3215218,6.8615565,5.3993025,5.8099999,1206.6381,0
2002,924,China,China,3.3068614,5.2333264,8.2156487,6.6882906,5.5041709,5.79,1307.6514,0
2003,924,China,China,3.3305011,5.3128676,8.2311945,6.7664156,5.705194,5.8666887,1429.485,0
2004,924,China,China,3.2992122,5.0227776,8.0589399,6.7877955,4.4381795,5.5355048,1564.5431,0
2005,924,China,China,3.3062363,5.1510658,8.1799173,6.9315448,5.9376483,5.8790879,1731.1252,0
2006,924,China,China,3.2794263,5.3832245,8.2231007,6.9338288,6.1934819,5.9761024,1940.1147,0
2007,924,China,China,3.2789826,5.8064666,8.0839796,6.9897566,6.4430547,6.0925198,2204.0696,0
2008,924,China,China,3.2810323,5.936717,8.1284781,6.8363028,6.294806,6.0731173,2403.3145,0
2009,924,China,China,3.2274997,5.8941078,8.0465384,6.8548326,6.7525916,6.1216245,2611.3984,0
2010,924,China,China,3.6263165,5.7475038,7.8853254,6.9770145,6.6971407,6.1798329,2869.0938,0
2011,924,China,China,3.6295285,5.5582895,7.8982968,6.8781924,6.6755404,6.1299191,3120.9297,0
2012,924,China,China,3.6402349,5.5172811,8.0317135,6.954854,6.8643584,6.1978135,3348.0098,0
2000,926,Ukraine,Ukraine,4.5861578,4.8127618,2.2441754,6.3117433,4.8411469,4.5599999,1210.6858,0
2001,926,Ukraine,Ukraine,4.1302752,4.2016282,4.5528207,6.0205088,4.5552649,4.6900001,1335.4292,0
2002,926,Ukraine,Ukraine,4.7874017,4.4333334,4.7865801,6.5772648,6.0400944,5.3200002,1418.901,0
2003,926,Ukraine,Ukraine,4.3986716,4.4871845,4.7345214,6.4373755,6.0953612,5.2212987,1564.9247,0
2004,926,Ukraine,Ukraine,5.3125353,4.5683804,5.1225448,6.2585421,5.9368343,5.4258647,1767.6396,0
2005,926,Ukraine,Ukraine,6.4643431,4.7917786,4.877419,6.069849,6.6119065,5.7415514,1828.7177,0
2006,926,Ukraine,Ukraine,6.5561309,4.8054862,5.3452759,6.0440989,6.7087326,5.8700194,1975.5254,0
2007,926,Ukraine,Ukraine,6.7485132,4.9278531,5.1578431,6.1577992,6.2672839,5.840373,2144.3513,0
2008,926,Ukraine,Ukraine,6.872313,4.7884865,4.6096091,6.4102378,6.3588419,5.7909622,2205.5815,0
2009,926,Ukraine,Ukraine,6.5327435,4.5102024,5.3204389,6.5157738,6.3216033,5.8206086,1887.5162,0
2010,926,Ukraine,Ukraine,6.6150985,4.502593,5.5978618,6.3944488,6.1417298,5.8304911,1974.6212,0
2011,926,Ukraine,Ukraine,6.8256931,4.8370309,6.0415211,6.4090157,6.5748754,6.1167955,2084.7825,0
2012,926,Ukraine,Ukraine,6.7002072,4.6862144,6.418859,6.5549197,6.7156343,6.1958499,2094.1201,0
2000,935,Czech Rep.,Czech Rep.,3.1250813,6.8877568,8.1289883,8.284338,6.2209439,6.5300002,10361.197,0
2001,935,Czech Rep.,Czech Rep.,2.9641373,6.5511289,9.1322632,8.2473183,5.9029655,6.5599999,10719.511,0
2002,935,Czech Rep.,Czech Rep.,2.8723912,6.3666668,8.8773479,8.1936054,7.0226569,6.6700001,10983.854,0
2003,935,Czech Rep.,Czech Rep.,3.3497429,6.5171113,9.1137819,8.0745087,7.1527243,6.8423252,11394.723,0
2004,935,Czech Rep.,Czech Rep.,3.2682085,6.5619526,9.0020666,8.2169094,7.4470229,6.8911295,11925.018,0
2005,935,Czech Rep.,Czech Rep.,3.3041048,6.6117077,9.0465736,8.0024548,7.6928444,6.9207048,12705.608,0
2006,935,Czech Rep.,Czech Rep.,3.1467714,6.7293305,9.3026867,7.9003282,7.6030622,6.9108181,13553.489,0
2007,935,Czech Rep.,Czech Rep.,3.8895843,6.7989998,9.3233624,7.9032745,7.6882186,7.1382127,14240.625,0
2008,935,Czech Rep.,Czech Rep.,3.7249227,7.0103297,9.1367931,7.850534,7.8454576,7.1184392,14554.936,0
2009,935,Czech Rep.,Czech Rep.,3.6193087,6.9259787,9.4777746,7.8244367,7.5693169,7.088779,13815.639,0
2010,935,Czech Republic,Czech Rep.,3.6817944,6.7376037,9.4494019,7.7679677,7.7603793,7.088779,14116.086,0
2011,935,Czech Republic,Czech Rep.,3.8996797,6.7632275,9.4766407,7.6981468,7.7625055,7.1385179,14414.938,0
2012,935,Czech Republic,Czech Rep.,4.260335,6.6263485,9.4401512,7.9001203,8.0435266,7.2967119,14198.767,0
2000,936,Slovak Rep,Slovak Rep,2.9806006,6.3042531,7.9003072,7.9222193,5.9088497,6.1999998,8957.4189,0
2001,936,Slovak Rep,Slovak Rep,4.9669394,5.62468,8.0488777,8.2784805,5.7291579,6.5300002,9286.2949,0
2002,936,Slovak Rep,Slovak Rep,4.2118263,5.6666665,8.0515537,8.1698551,6.645422,6.5500002,9711.5352,0
2003,936,Slovak Rep,Slovak Rep,5.372592,6.04882,7.4054508,8.321538,7.4306746,6.9217024,10174.221,0
2004,936,Slovak Rep,Slovak Rep,6.4324088,6.1003532,8.7722759,8.8096085,7.2324352,7.4678912,10683.191,0
2005,936,Slovak Rep,Slovak Rep,6.4789071,6.505084,9.1475019,8.4870729,7.5816917,7.6367135,11384.529,0
2006,936,Slovak Rep,Slovak Rep,6.4408636,6.3684816,8.9469976,8.4463711,7.4776101,7.5366254,12324.53,0
2007,936,Slovak Rep,Slovak Rep,6.5773501,6.1543941,9.300684,8.5029831,7.2012105,7.5466342,13602.949,0
2008,936,Slovak Rep,Slovak Rep,6.5701675,6.0199571,9.47861,8.3697319,7.5075436,7.5866694,14360.419,0
2009,936,Slovak Rep,Slovak Rep,5.8049326,5.837523,9.6878281,8.3904495,7.2374725,7.3864932,13622.079,0
2010,936,Slovak Republic,Slovak Rep,6.2919917,5.6714015,9.712903,8.3934326,7.2448478,7.4565549,14161.798,0
2011,936,Slovak Republic,Slovak Rep,6.4304175,5.7033057,9.5840731,8.3292341,7.0594268,7.4165196,14700.837,0
2012,936,Slovak Republic,Slovak Rep,6.4239135,5.524147,9.5097733,8.1944666,7.1027474,7.346458,14961.919,0
2000,939,Estonia,Estonia,6.426404,6.7344003,8.6660147,9.0350981,7.1673641,7.6100001,7186.8335,0
2001,939,Estonia,Estonia,6.4730325,6.6368356,9.1969032,8.9405899,7.0989165,7.6700001,7668.6006,0
2002,939,Estonia,Estonia,6.5449982,6.9817719,9.2423573,8.6260281,7.3542747,7.7497921,8204.5156,0
2003,939,Estonia,Estonia,6.4592233,7.1256194,9.6058788,8.6762238,7.4698462,7.859931,8874.8564,0
2004,939,Estonia,Estonia,6.6912436,6.7592463,9.5324583,8.7902479,7.346056,7.8102474,9467.6201,0
2005,939,Estonia,Estonia,6.9880958,7.3350534,9.4311409,8.6354465,7.5108342,7.96843,10330.281,0
2006,939,Estonia,Estonia,7.0278549,7.3009496,9.3225746,8.6450443,7.5038071,7.9484086,11394.952,0
2007,939,Estonia,Estonia,7.0883055,7.4284053,9.2009277,8.6580343,7.7471371,8.0184832,12265.803,0
2008,939,Estonia,Estonia,6.2712531,7.4264493,9.0755835,8.598361,7.4585929,7.7582073,11765.349,0
2009,939,Estonia,Estonia,5.7097731,7.3566456,9.5092201,8.5868025,7.4916973,7.7181649,10112.75,0
2010,939,Estonia,Estonia,6.0575471,7.3903942,9.4338999,8.5772905,7.6608224,7.8182712,10450.399,0
2011,939,Estonia,Estonia,6.0932703,7.359437,8.9446421,8.4816551,7.6223059,7.6885257,11317.915,0
2012,939,Estonia,Estonia,5.9092002,7.3362145,8.8430386,8.4014883,7.6547451,7.6184478,11687.486,0
2000,941,Latvia,Latvia,5.1841331,6.6708946,8.5514126,7.8067393,6.6080441,6.96,4560.8433,0
2001,941,Latvia,Latvia,5.2111073,6.1018519,9.3252087,7.9583597,6.2720304,6.9699998,4965.3037,0
2002,941,Latvia,Latvia,5.9582577,6.8521762,9.3595362,7.7925034,6.7963047,7.3405318,5323.7285,0
2003,941,Latvia,Latvia,5.9090753,6.1551909,9.2221079,7.8330641,6.8256984,7.1822453,5739.4175,0
2004,941,Latvia,Latvia,6.0240855,6.2784286,9.0358334,7.9313765,6.5324306,7.1528502,6271.2461,0
2005,941,Latvia,Latvia,6.3451605,6.78724,8.6784,7.8392043,6.8771911,7.2996254,6973.1611,0
2006,941,Latvia,Latvia,6.5019493,6.836235,8.7087469,7.7784886,7.2875171,7.4275165,7869.1807,0
2007,941,Latvia,Latvia,5.8965893,6.903295,8.7657852,7.9474316,7.2802973,7.3586516,8699.3857,0
2008,941,Latvia,Latvia,5.734076,6.6188273,8.9025555,7.8704405,7.1630859,7.2602739,8367.0049,0
2009,941,Latvia,Latvia,5.3339167,6.4353247,8.896306,7.8220453,7.0344834,7.1127076,6898.9902,0
2010,941,Latvia,Latvia,5.2180157,6.4630651,8.9325399,7.7447996,6.803381,7.0340056,6923.8887,0
2011,941,Latvia,Latvia,5.6992707,6.5136361,8.9751682,7.7377763,6.8694162,7.1620288,7946.4653,0
2012,941,Latvia,Latvia,5.7293582,6.5178494,8.9619179,7.7583184,7.2096705,7.2407327,8526.9883,0
2000,942,Serbia  ,Serbia  ,,,,,,,2588.7437,0
2001,942,Serbia  ,Serbia  ,,,,,,,2730.6384,0
2002,942,Serbia  ,Serbia  ,,,,,,,2844.5042,0
2003,942,Serbia  ,Serbia  ,,,,,,,2928.1711,0
2004,942,Serbia  ,Serbia  ,,,,,,,3207.9673,0
2005,942,Serbia  ,Serbia  ,,,,,,,3391.3711,0
2006,942,Serbia  ,Serbia  ,,,,,,,3527.3027,0
2007,942,Serbia  ,Serbia  ,,,,,,,3732.8816,0
2008,942,Serbia  ,Serbia  ,,,,,,,3891.262,0
2009,942,Serbia  ,Serbia  ,,,,,,,3770.155,0
2010,942,Serbia,Serbia  ,,,,,,,3823.5564,0
2011,942,Serbia,Serbia  ,,,,,,,3903.5452,0
2012,942,Serbia,Serbia  ,,,,,,,3855.7009,0
2000,943,Montenegro,Montenegro,,,,,,,3214.9087,0
2001,943,Montenegro,Montenegro,,,,,,,3248.5239,0
2002,943,Montenegro,Montenegro,,,,,,,3305.9211,0
2003,943,Montenegro,Montenegro,,,,,,,3382.366,0
2004,943,Montenegro,Montenegro,,,,,,,3524.1699,0
2005,943,Montenegro,Montenegro,,,,,,,3665.3274,0
2006,943,Montenegro,Montenegro,,,,,,,3973.8733,0
2007,943,Montenegro,Montenegro,,,,,,,4392.3418,0
2008,943,Montenegro,Montenegro,,,,,,,4688.9692,0
2009,943,Montenegro,Montenegro,,,,,,,4416.2798,0
2010,943,Montenegro,Montenegro,,,,,,,4521.7959,0
2011,943,Montenegro,Montenegro,,,,,,,4662.2378,0
2012,943,Montenegro,Montenegro,,,,,,,4682.252,0
2000,944,Hungary,Hungary,3.8498909,7.0120215,7.1570807,7.5884829,7.181881,6.5599999,8810.0771,0
2001,944,Hungary,Hungary,3.7445796,6.7425289,8.6298485,8.5964756,6.7890067,6.9000001,9158.1084,0
2002,944,Hungary,Hungary,2.7675469,6.7333331,8.9962273,8.3881092,6.5222473,6.6799998,9598.0742,0
2003,944,Hungary,Hungary,5.127975,6.5958624,9.3328362,8.2846365,6.7475033,7.2076306,9996.2324,0
2004,944,Hungary,Hungary,5.1721568,6.4892149,9.283145,8.4358559,7.3955135,7.3479738,10498.993,0
2005,944,Hungary,Hungary,4.6380529,6.8915801,9.4410839,7.9238987,7.2911377,7.2275152,10936.948,0
2006,944,Hungary,Hungary,4.2352238,6.9567199,9.476963,7.9923973,7.0408459,7.1272721,11380.888,0
2007,944,Hungary,Hungary,4.6450734,6.8826699,9.1082258,7.8880424,7.2130799,7.1372967,11411.605,0
2008,944,Hungary,Hungary,5.096333,6.5183516,9.245079,7.8155141,7.2572646,7.1773934,11533.82,0
2009,944,Hungary,Hungary,4.5066619,6.6107311,9.5349073,7.9046521,7.4342628,7.187418,10766.345,0
2010,944,Hungary,Hungary,3.9400525,6.5614715,9.5959196,7.9046235,7.6003065,7.1072235,10926.469,0
2011,944,Hungary,Hungary,5.6408138,6.3928537,9.6142817,7.6788325,7.6021976,7.3778934,11132.794,0
2012,944,Hungary,Hungary,5.7204041,6.3539939,9.5217171,7.588901,7.4753938,7.3177476,10974.32,0
2000,946,Lithuania,Lithuania,5.4526858,6.4838495,7.0911074,7.878056,6.1123066,6.5999999,5097.9336,0
2001,946,Lithuania,Lithuania,5.6288967,5.4484496,7.8399277,7.9877062,5.8206511,6.5500002,5469.8315,0
2002,946,Lithuania,Lithuania,5.1628852,5.7393804,9.383173,7.7919612,6.7436662,6.9593749,5865.8481,0
2003,946,Lithuania,Lithuania,5.4347363,5.7674203,9.2443342,7.7135439,6.6925397,6.9692464,6494.7334,0
2004,946,Lithuania,Lithuania,5.4457893,5.5618339,9.1728306,7.7094898,6.6355233,6.9012065,7009.9219,0
2005,946,Lithuania,Lithuania,5.6053843,6.1628761,8.8349533,7.528254,7.0734377,7.0510292,7603.9668,0
2006,946,Lithuania,Lithuania,5.5147543,6.3804817,8.7753515,7.5115542,7.0362368,7.0510292,8249.3438,0
2007,946,Lithuania,Lithuania,5.7581224,6.5854721,8.7969732,7.5358415,6.8806911,7.1265421,9110.625,0
2008,946,Lithuania,Lithuania,5.7271023,6.3216109,8.6875362,7.4748597,6.7028761,6.9943943,9426.21,0
2009,946,Lithuania,Lithuania,5.5636654,6.2329397,9.1551418,7.2370806,7.2847543,7.0982246,8081.5293,0
