PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,ano,municipio_codigo,cargo_codigo,partido_codigo,coligacao,latitude,longitude,pobres,idhm,rendapercapita,populacao,estado,municipio,cargo,tipo,partido,coligacao_nome,coligacao_partidos,codigo_ibge,candidaturas_mun
0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2016,7617,11,,1,-3.73875,-43.353802,48.380001,.60399997,251.75,69313,MA,CHAPADINHA,PREFEITO,COLIGACAO,PV,CHAPADINHA DE TODOS NÓS,PV / PP / PSC / PRTB / PSDB / PCdoB / PSDC / PMN / PTC / SD / DEM,,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2016,7617,11,,1,-3.73875,-43.353802,48.380001,.60399997,251.75,69313,MA,CHAPADINHA,PREFEITO,COLIGACAO,PMDB,JUNTOS SOMOS MAIS FORTE,PMDB / PSL / PMB / PRP / PSD,,3
0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,2016,7617,11,,1,-3.73875,-43.353802,48.380001,.60399997,251.75,69313,MA,CHAPADINHA,PREFEITO,COLIGACAO,PRB,PRA FRENTE CHAPADINHA,PRB / PPS / PDT / PSB / PR / PTN / PEN / PTB / PHS / PT,,3
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2016,7625,11,,1,-5.4783502,-44.0774,52.700001,.54400003,188.67999,6888,MA,GOVERNADOR LUIZ ROCHA,PREFEITO,COLIGACAO,PMDB,A FORÇA QUE VEM DO POVO,PMDB / PT / PROS / PV / PSL / PSB / PPS / PP,,2
0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7625,11,,1,-5.4783502,-44.0774,52.700001,.54400003,188.67999,6888,MA,GOVERNADOR LUIZ ROCHA,PREFEITO,COLIGACAO,PRB,JUNTOS PODEMOS MAIS,PRB / PDT / PTB / PTN / DEM / PSDC / PSDB / PCdoB,,2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,7633,11,,1,-4.4556198,-43.892399,44.040001,.59500003,273.45001,113999,MA,CODÓ,PREFEITO,COLIGACAO,PP,O POVO QUER O POVO PODE,PP / PPS / PRTB,,5
1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,2016,7633,11,,1,-4.4556198,-43.892399,44.040001,.59500003,273.45001,113999,MA,CODÓ,PREFEITO,COLIGACAO,PDT,UNIDOS PRA FAZER MAIS,PDT / PMDB / PEN / PSD / PSC / SD / PV / PSDC / PRP / PTN / PHS / PMB / PTB / PTC / REDE / PTdoB,,5
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,7633,11,,1,-4.4556198,-43.892399,44.040001,.59500003,273.45001,113999,MA,CODÓ,PREFEITO,COLIGACAO,DEM,CODO MELHOR,DEM / PSDB / PSL / PR / PPL / PMN / PROS,,5
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016,7633,11,,1,-4.4556198,-43.892399,44.040001,.59500003,273.45001,113999,MA,CODÓ,PREFEITO,COLIGACAO,PCdoB,COM A FORÇA DO POVO,PCdoB / PT / PSB / PRB,,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,7633,11,50,0,-4.4556198,-43.892399,44.040001,.59500003,273.45001,113999,MA,CODÓ,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,2103307,5
